x Vx_1 Vy_1 V_1 Vx_2 Vy_2 V_2 Vx_3 Vy_3 V_3
+1.12e+00 -6.16e-02 +6.20e-02 +6.20e-02 -6.43e-17 +2.44e-01 +2.44e-01 +6.16e-02 +6.20e-02 +6.20e-02
+1.20e+00 -2.94e-02 +2.97e-02 +2.97e-02 -5.64e-17 +1.37e-01 +1.37e-01 +2.94e-02 +2.97e-02 +2.97e-02
+1.28e+00 -1.25e-02 +1.26e-02 +1.26e-02 -2.33e-17 +6.83e-02 +6.83e-02 +1.25e-02 +1.26e-02 +1.26e-02
+1.36e+00 -4.66e-03 +4.71e-03 +4.71e-03 -3.43e-18 +2.97e-02 +2.97e-02 +4.66e-03 +4.71e-03 +4.71e-03
+1.44e+00 -1.53e-03 +1.55e-03 +1.55e-03 -3.28e-18 +1.12e-02 +1.12e-02 +1.53e-03 +1.55e-03 +1.55e-03
+1.52e+00 -4.38e-04 +4.44e-04 +4.44e-04 -7.66e-19 +3.67e-03 +3.67e-03 +4.38e-04 +4.44e-04 +4.44e-04
+1.60e+00 -1.10e-04 +1.11e-04 +1.11e-04 -2.07e-19 +1.04e-03 +1.04e-03 +1.10e-04 +1.11e-04 +1.11e-04
+1.68e+00 -2.38e-05 +2.43e-05 +2.43e-05 -4.89e-20 +2.54e-04 +2.54e-04 +2.38e-05 +2.43e-05 +2.43e-05
+1.76e+00 -4.49e-06 +4.58e-06 +4.58e-06 -1.68e-20 +5.34e-05 +5.34e-05 +4.49e-06 +4.58e-06 +4.58e-06
+1.84e+00 -7.33e-07 +7.50e-07 +7.50e-07 -2.17e-21 +9.65e-06 +9.65e-06 +7.33e-07 +7.50e-07 +7.50e-07
+1.92e+00 -1.03e-07 +1.06e-07 +1.06e-07 -6.23e-22 +1.50e-06 +1.50e-06 +1.03e-07 +1.06e-07 +1.06e-07
+2.00e+00 -1.26e-08 +1.29e-08 +1.29e-08 -8.32e-23 +1.99e-07 +1.99e-07 +1.26e-08 +1.29e-08 +1.29e-08
