wl	n	k
0.74	1.327502	1.4581095e-07
0.745	1.32735	1.5303478e-07
0.75	1.327201	1.5587991e-07
0.755	1.327055	1.5804841e-07
0.76	1.326909	1.5804841e-07
0.766	1.326764	1.5696042e-07
0.769	1.326667	1.5263281e-07
0.774	1.326524	1.4783938e-07
0.78	1.326382	1.408608e-07
0.785	1.326244	1.3390295e-07
0.791	1.326104	1.2817111e-07
0.794	1.326012	1.2583172e-07
0.8	1.325874	1.249655e-07
0.805	1.325739	1.2699603e-07
0.809	1.325648	1.3298117e-07
0.815	1.325512	1.448072e-07
0.82	1.325379	1.6210266e-07
0.824	1.32529	1.8188218e-07
0.83	1.325157	2.0407516e-07
0.836	1.325025	2.2427979e-07
0.839	1.324937	2.459179e-07
0.845	1.324805	2.6902345e-07
0.849	1.324718	2.9294773e-07
0.855	1.32459	3.1534805e-07
0.859	1.324502	3.3480362e-07
0.865	1.324373	3.5464198e-07
0.871	1.324244	3.7479185e-07
0.875	1.324159	3.9065208e-07
0.879	1.324074	4.0531264e-07
0.885	1.323946	4.2343831e-07
0.889	1.323859	4.4034203e-07
0.895	1.323732	4.6215765e-07
0.899	1.323648	4.8617222e-07
0.906	1.32352	5.1497974e-07
0.91	1.323434	5.6988883e-07
0.914	1.323351	6.6956099e-07
0.92	1.323222	8.3040536e-07
0.925	1.323138	1.0597176e-06
0.929	1.323054	1.3683278e-06
0.935	1.322926	1.7708841e-06
0.94	1.322842	2.1691528e-06
0.944	1.322757	2.5573498e-06
0.951	1.32263	2.9321767e-06
0.955	1.322546	3.189996e-06
0.959	1.322462	3.3580731e-06
0.966	1.322333	3.4640978e-06
0.971	1.322249	3.5017904e-06
0.975	1.322165	3.4800873e-06
0.979	1.32208	3.4181423e-06
0.984	1.321994	3.3364924e-06
0.991	1.321866	3.2530455e-06
0.995	1.32178	3.131051e-06
1.0	1.321695	2.9997851e-06
1.01	1.321521	2.6877579e-06
1.02	1.321303	2.3522861e-06
1.03	1.321128	2.0007376e-06
1.04	1.320952	1.6900134e-06
1.05	1.320775	1.4193521e-06
1.06	1.320596	1.2989431e-06
1.07	1.320416	1.2588968e-06
1.08	1.320233	1.3285874e-06
1.09	1.320051	1.4986152e-06
1.1	1.319865	1.7084023e-06
1.11	1.319678	2.0384034e-06
1.12	1.319488	2.628392e-06
1.13	1.319296	3.8689235e-06
1.14	1.319103	5.9510026e-06
1.15	1.318909	9.3064735e-06
1.16	1.318763	1.0688829e-05
1.17	1.318566	1.1195156e-05
1.18	1.318366	1.1603263e-05
1.19	1.318162	1.1812182e-05
1.2	1.318008	1.1994997e-05
1.21	1.317799	1.1905843e-05
1.22	1.317641	1.1790172e-05
1.23	1.317427	1.1602462e-05
1.24	1.317263	1.1388857e-05
1.25	1.317042	1.1002215e-05
1.26	1.316873	1.0790713e-05
1.27	1.316645	1.0904861e-05
1.28	1.31647	1.1394365e-05
1.29	1.316233	1.2211532e-05
1.3	1.316052	1.4002002e-05
1.31	1.315868	1.6390422e-05
1.32	1.315618	1.9120099e-05
