x y Vx Vy V V1 V2 V3 V4
-2.00e+00 +1.52e+00 +1.26e-14 -1.26e-14 +1.25e-14 +3.53e-26 +1.13e-37 +4.18e-21 +1.26e-14
-2.00e+00 +1.60e+00 +1.82e-15 -1.82e-15 +1.82e-15 +1.02e-26 +4.74e-39 +1.76e-22 +1.82e-15
-2.00e+00 +1.68e+00 +2.34e-16 -2.34e-16 +2.35e-16 +2.55e-27 +1.70e-40 +6.31e-24 +2.34e-16
-2.00e+00 +1.76e+00 +2.65e-17 -2.65e-17 +2.66e-17 +5.47e-28 +5.21e-42 +1.94e-25 +2.65e-17
-2.00e+00 +1.84e+00 +2.65e-18 -2.65e-18 +2.66e-18 +1.01e-28 +1.36e-43 +5.07e-27 +2.65e-18
-2.00e+00 +1.92e+00 +2.33e-19 -2.33e-19 +2.33e-19 +1.60e-29 +3.05e-45 +1.13e-28 +2.33e-19
-2.00e+00 +2.00e+00 +1.80e-20 -1.80e-20 +1.80e-20 +2.16e-30 +5.81e-47 +2.16e-30 +1.80e-20
-1.92e+00 -2.00e+00 -2.33e-19 -2.33e-19 +2.33e-19 +3.05e-45 +1.13e-28 +2.33e-19 +1.60e-29
-1.92e+00 -1.92e+00 -2.94e-18 -2.94e-18 +2.94e-18 +1.60e-43 +8.36e-28 +2.94e-18 +8.36e-28
-1.92e+00 -1.84e+00 -3.25e-17 -3.25e-17 +3.25e-17 +7.15e-42 +5.29e-27 +3.25e-17 +3.74e-26
-1.92e+00 -1.76e+00 -3.16e-16 -3.16e-16 +3.17e-16 +2.73e-40 +2.87e-26 +3.16e-16 +1.43e-24
-1.92e+00 -1.68e+00 -2.71e-15 -2.71e-15 +2.72e-15 +8.92e-39 +1.34e-25 +2.71e-15 +4.66e-23
-1.92e+00 -1.60e+00 -2.05e-14 -2.05e-14 +2.06e-14 +2.49e-37 +5.36e-25 +2.05e-14 +1.30e-21
-1.92e+00 -1.52e+00 -1.37e-13 -1.37e-13 +1.38e-13 +5.92e-36 +1.85e-24 +1.37e-13 +3.08e-20
-1.92e+00 -1.44e+00 -8.16e-13 -8.16e-13 +8.16e-13 +1.20e-34 +5.53e-24 +8.16e-13 +6.26e-19
-1.92e+00 -1.36e+00 -4.31e-12 -4.31e-12 +4.30e-12 +2.09e-33 +1.43e-23 +4.31e-12 +1.09e-17
