wl n k a
3.15000e+02 1.36681e+00 3.32499e-09 1.32645e-01
3.20000e+02 1.36538e+00 3.19000e-09 1.25271e-01
3.25000e+02 1.36399e+00 3.08170e-09 1.19156e-01
3.30000e+02 1.36262e+00 2.98394e-09 1.13628e-01
3.35000e+02 1.36151e+00 2.88264e-09 1.08132e-01
3.40000e+02 1.36044e+00 2.76560e-09 1.02217e-01
3.45000e+02 1.35923e+00 2.65332e-09 9.66453e-02
3.50000e+02 1.35822e+00 2.52808e-09 9.07678e-02
3.55000e+02 1.35725e+00 2.41986e-09 8.56587e-02
3.60000e+02 1.35630e+00 2.31628e-09 8.08533e-02
3.65000e+02 1.35537e+00 2.21712e-09 7.63321e-02
3.70000e+02 1.35447e+00 2.11734e-09 7.19115e-02
3.75000e+02 1.35359e+00 2.03138e-09 6.80720e-02
3.80000e+02 1.35274e+00 1.93995e-09 6.41529e-02
3.85000e+02 1.35205e+00 1.83988e-09 6.00536e-02
3.90000e+02 1.35123e+00 1.76112e-09 5.67460e-02
3.95000e+02 1.35044e+00 1.66261e-09 5.28936e-02
4.00000e+02 1.34979e+00 1.58048e-09 4.96524e-02
4.05000e+02 1.34916e+00 1.48864e-09 4.61897e-02
4.10000e+02 1.34842e+00 1.42164e-09 4.35729e-02
4.15000e+02 1.34781e+00 1.33903e-09 4.05464e-02
4.20000e+02 1.34722e+00 1.25832e-09 3.76488e-02
4.25000e+02 1.34664e+00 1.16893e-09 3.45630e-02
4.30000e+02 1.34607e+00 1.08840e-09 3.18076e-02
4.35000e+02 1.34550e+00 1.01810e-09 2.94111e-02
4.40000e+02 1.34496e+00 9.39269e-10 2.68255e-02
4.45000e+02 1.34442e+00 8.68541e-10 2.45267e-02
4.50000e+02 1.34389e+00 8.08705e-10 2.25833e-02
4.55000e+02 1.34337e+00 7.79453e-10 2.15273e-02
4.60000e+02 1.34286e+00 7.59959e-10 2.07607e-02
4.65000e+02 1.34245e+00 7.49532e-10 2.02557e-02
4.70000e+02 1.34196e+00 7.29105e-10 1.94941e-02
4.75000e+02 1.34147e+00 7.01116e-10 1.85484e-02
4.80000e+02 1.34109e+00 7.09235e-10 1.85677e-02
4.85000e+02 1.34062e+00 7.15797e-10 1.85463e-02
4.90000e+02 1.34025e+00 7.34159e-10 1.88280e-02
4.95000e+02 1.33979e+00 7.84856e-10 1.99248e-02
5.00000e+02 1.33943e+00 9.24251e-10 2.32290e-02
5.05000e+02 1.33907e+00 1.07843e-09 2.68354e-02
5.11000e+02 1.33864e+00 1.26704e-09 3.11587e-02
5.15000e+02 1.33829e+00 1.46147e-09 3.56609e-02
5.20000e+02 1.33794e+00 1.56960e-09 3.79312e-02
5.25000e+02 1.33761e+00 1.63980e-09 3.92501e-02
5.30000e+02 1.33727e+00 1.75707e-09 4.16605e-02
5.35000e+02 1.33694e+00 1.88708e-09 4.43247e-02
5.40000e+02 1.33662e+00 2.09793e-09 4.88210e-02
5.45000e+02 1.33629e+00 2.26877e-09 5.23123e-02
5.50000e+02 1.33597e+00 2.44225e-09 5.58004e-02
5.55000e+02 1.33566e+00 2.65944e-09 6.02153e-02
5.60000e+02 1.33534e+00 2.86939e-09 6.43890e-02
5.65000e+02 1.33503e+00 3.13177e-09 6.96549e-02
5.70000e+02 1.33473e+00 3.43392e-09 7.57051e-02
5.75000e+02 1.33442e+00 3.84406e-09 8.40102e-02
5.79000e+02 1.33420e+00 4.43394e-09 9.62324e-02
5.85000e+02 1.33390e+00 5.22144e-09 1.12162e-01
