R P dT
+9.5263e+00 +5.7500e+01 +1.8362e+01
+1.0000e+01 +5.7500e+01 +1.8362e+01
+1.0000e+00 +6.7000e+01 +2.1396e+01
+1.4737e+00 +6.7000e+01 +2.1396e+01
+1.9474e+00 +6.7000e+01 +2.1396e+01
+2.4211e+00 +6.7000e+01 +2.1396e+01
+2.8947e+00 +6.7000e+01 +2.1396e+01
+3.3684e+00 +6.7000e+01 +2.1396e+01
+3.8421e+00 +6.7000e+01 +2.1396e+01
+4.3158e+00 +6.7000e+01 +2.1396e+01
+4.7895e+00 +6.7000e+01 +2.1396e+01
+5.2632e+00 +6.7000e+01 +2.1396e+01
+5.7368e+00 +6.7000e+01 +2.1396e+01
+6.2105e+00 +6.7000e+01 +2.1396e+01
+6.6842e+00 +6.7000e+01 +2.1396e+01
+7.1579e+00 +6.7000e+01 +2.1396e+01
+7.6316e+00 +6.7000e+01 +2.1396e+01
+8.1053e+00 +6.7000e+01 +2.1396e+01
+8.5789e+00 +6.7000e+01 +2.1396e+01
+9.0526e+00 +6.7000e+01 +2.1396e+01
+9.5263e+00 +6.7000e+01 +2.1396e+01
+1.0000e+01 +6.7000e+01 +2.1396e+01
+1.0000e+00 +7.6500e+01 +2.4430e+01
+1.4737e+00 +7.6500e+01 +2.4430e+01
+1.9474e+00 +7.6500e+01 +2.4430e+01
+2.4211e+00 +7.6500e+01 +2.4430e+01
+2.8947e+00 +7.6500e+01 +2.4430e+01
+3.3684e+00 +7.6500e+01 +2.4430e+01
+3.8421e+00 +7.6500e+01 +2.4430e+01
+4.3158e+00 +7.6500e+01 +2.4430e+01
+4.7895e+00 +7.6500e+01 +2.4430e+01
+5.2632e+00 +7.6500e+01 +2.4430e+01
+5.7368e+00 +7.6500e+01 +2.4430e+01
+6.2105e+00 +7.6500e+01 +2.4430e+01
+6.6842e+00 +7.6500e+01 +2.4430e+01
+7.1579e+00 +7.6500e+01 +2.4430e+01
+7.6316e+00 +7.6500e+01 +2.4430e+01
+8.1053e+00 +7.6500e+01 +2.4430e+01
+8.5789e+00 +7.6500e+01 +2.4430e+01
+9.0526e+00 +7.6500e+01 +2.4430e+01
+9.5263e+00 +7.6500e+01 +2.4430e+01
+1.0000e+01 +7.6500e+01 +2.4430e+01
+1.0000e+00 +8.6000e+01 +2.7464e+01
+1.4737e+00 +8.6000e+01 +2.7464e+01
+1.9474e+00 +8.6000e+01 +2.7464e+01
+2.4211e+00 +8.6000e+01 +2.7464e+01
+2.8947e+00 +8.6000e+01 +2.7464e+01
+3.3684e+00 +8.6000e+01 +2.7464e+01
+3.8421e+00 +8.6000e+01 +2.7464e+01
+4.3158e+00 +8.6000e+01 +2.7464e+01
+4.7895e+00 +8.6000e+01 +2.7464e+01
+5.2632e+00 +8.6000e+01 +2.7464e+01
+5.7368e+00 +8.6000e+01 +2.7464e+01
+6.2105e+00 +8.6000e+01 +2.7464e+01
+6.6842e+00 +8.6000e+01 +2.7464e+01
+7.1579e+00 +8.6000e+01 +2.7463e+01
+7.6316e+00 +8.6000e+01 +2.7463e+01
+8.1053e+00 +8.6000e+01 +2.7463e+01
+8.5789e+00 +8.6000e+01 +2.7463e+01
+9.0526e+00 +8.6000e+01 +2.7463e+01
+9.5263e+00 +8.6000e+01 +2.7463e+01
+1.0000e+01 +8.6000e+01 +2.7463e+01
+1.0000e+00 +9.5500e+01 +3.0498e+01
+1.4737e+00 +9.5500e+01 +3.0498e+01
+1.9474e+00 +9.5500e+01 +3.0498e+01
+2.4211e+00 +9.5500e+01 +3.0498e+01
+2.8947e+00 +9.5500e+01 +3.0498e+01
+3.3684e+00 +9.5500e+01 +3.0497e+01
+3.8421e+00 +9.5500e+01 +3.0497e+01
+4.3158e+00 +9.5500e+01 +3.0497e+01
+4.7895e+00 +9.5500e+01 +3.0497e+01
+5.2632e+00 +9.5500e+01 +3.0497e+01
+5.7368e+00 +9.5500e+01 +3.0497e+01
+6.2105e+00 +9.5500e+01 +3.0497e+01
+6.6842e+00 +9.5500e+01 +3.0497e+01
+7.1579e+00 +9.5500e+01 +3.0497e+01
+7.6316e+00 +9.5500e+01 +3.0497e+01
+8.1053e+00 +9.5500e+01 +3.0497e+01
+8.5789e+00 +9.5500e+01 +3.0497e+01
+9.0526e+00 +9.5500e+01 +3.0497e+01
+9.5263e+00 +9.5500e+01 +3.0497e+01
+1.0000e+01 +9.5500e+01 +3.0497e+01
+1.0000e+00 +1.0500e+02 +3.3531e+01
+1.4737e+00 +1.0500e+02 +3.3531e+01
+1.9474e+00 +1.0500e+02 +3.3531e+01
+2.4211e+00 +1.0500e+02 +3.3531e+01
+2.8947e+00 +1.0500e+02 +3.3531e+01
+3.3684e+00 +1.0500e+02 +3.3531e+01
+3.8421e+00 +1.0500e+02 +3.3531e+01
+4.3158e+00 +1.0500e+02 +3.3531e+01
+4.7895e+00 +1.0500e+02 +3.3531e+01
+5.2632e+00 +1.0500e+02 +3.3531e+01
+5.7368e+00 +1.0500e+02 +3.3531e+01
+6.2105e+00 +1.0500e+02 +3.3531e+01
+6.6842e+00 +1.0500e+02 +3.3531e+01
+7.1579e+00 +1.0500e+02 +3.3531e+01
+7.6316e+00 +1.0500e+02 +3.3531e+01
+8.1053e+00 +1.0500e+02 +3.3531e+01
+8.5789e+00 +1.0500e+02 +3.3531e+01
+9.0526e+00 +1.0500e+02 +3.3531e+01
+9.5263e+00 +1.0500e+02 +3.3531e+01
+1.0000e+01 +1.0500e+02 +3.3531e+01
+1.0000e+00 +1.1450e+02 +3.6565e+01
+1.4737e+00 +1.1450e+02 +3.6565e+01
+1.9474e+00 +1.1450e+02 +3.6565e+01
+2.4211e+00 +1.1450e+02 +3.6565e+01
+2.8947e+00 +1.1450e+02 +3.6565e+01
+3.3684e+00 +1.1450e+02 +3.6565e+01
+3.8421e+00 +1.1450e+02 +3.6565e+01
+4.3158e+00 +1.1450e+02 +3.6565e+01
+4.7895e+00 +1.1450e+02 +3.6565e+01
+5.2632e+00 +1.1450e+02 +3.6565e+01
+5.7368e+00 +1.1450e+02 +3.6565e+01
+6.2105e+00 +1.1450e+02 +3.6565e+01
+6.6842e+00 +1.1450e+02 +3.6565e+01
+7.1579e+00 +1.1450e+02 +3.6565e+01
+7.6316e+00 +1.1450e+02 +3.6565e+01
+8.1053e+00 +1.1450e+02 +3.6565e+01
+8.5789e+00 +1.1450e+02 +3.6565e+01
+9.0526e+00 +1.1450e+02 +3.6565e+01
+9.5263e+00 +1.1450e+02 +3.6565e+01
+1.0000e+01 +1.1450e+02 +3.6565e+01
+1.0000e+00 +1.2400e+02 +3.9599e+01
+1.4737e+00 +1.2400e+02 +3.9599e+01
+1.9474e+00 +1.2400e+02 +3.9599e+01
+2.4211e+00 +1.2400e+02 +3.9599e+01
