f,raw,fit
+2.38000e+02,+8.46128e-09,+8.46654e-09
+2.40000e+02,+8.60170e-09,+8.36028e-09
+2.42000e+02,+7.64720e-09,+8.25580e-09
+2.44000e+02,+1.79488e-08,+8.15306e-09
+2.46000e+02,+7.42916e-09,+8.05203e-09
+2.48000e+02,+9.74894e-09,+7.95269e-09
+2.50000e+02,+7.91958e-09,+7.85498e-09
+2.52000e+02,+7.48262e-09,+7.75890e-09
+2.54000e+02,+6.65725e-09,+7.66440e-09
+2.56000e+02,+9.26934e-09,+7.57145e-09
+2.58000e+02,+9.26611e-09,+7.48002e-09
+2.60000e+02,+7.55812e-09,+7.39010e-09
+2.62000e+02,+7.54196e-09,+7.30163e-09
+2.64000e+02,+1.15277e-08,+7.21461e-09
+2.66000e+02,+9.43714e-09,+7.12900e-09
+2.68000e+02,+7.13416e-09,+7.04477e-09
+2.70000e+02,+1.79425e-08,+6.96191e-09
+2.72000e+02,+6.05645e-09,+6.88037e-09
+2.74000e+02,+5.08761e-09,+6.80014e-09
+2.76000e+02,+1.08068e-08,+6.72119e-09
+2.78000e+02,+5.24892e-09,+6.64350e-09
+2.80000e+02,+7.53070e-09,+6.56704e-09
+2.82000e+02,+9.07411e-09,+6.49180e-09
+2.86000e+02,+4.50847e-09,+6.34485e-09
+2.90000e+02,+4.48621e-09,+6.20247e-09
+2.94000e+02,+3.97790e-09,+6.06449e-09
+2.98000e+02,+5.62812e-09,+5.93074e-09
+3.02000e+02,+5.18744e-09,+5.80108e-09
+3.06000e+02,+3.85437e-09,+5.67535e-09
+3.10000e+02,+6.86516e-09,+5.55340e-09
+3.14000e+02,+7.88051e-09,+5.43510e-09
+3.18000e+02,+8.30793e-09,+5.32031e-09
+3.22000e+02,+2.99866e-09,+5.20890e-09
+3.26000e+02,+4.93663e-09,+5.10076e-09
+3.30000e+02,+4.47972e-09,+4.99576e-09
+3.34000e+02,+3.62219e-09,+4.89380e-09
+3.38000e+02,+3.85386e-09,+4.79475e-09
+3.42000e+02,+4.84833e-09,+4.69853e-09
+3.46000e+02,+8.24204e-09,+4.60503e-09
+3.50000e+02,+3.19040e-09,+4.51415e-09
+3.54000e+02,+6.74739e-09,+4.42580e-09
+3.58000e+02,+3.35580e-09,+4.33990e-09
+3.62000e+02,+4.82174e-09,+4.25636e-09
+3.66000e+02,+3.20032e-09,+4.17510e-09
+3.70000e+02,+2.86913e-09,+4.09604e-09
+3.74000e+02,+4.39310e-09,+4.01911e-09
+3.78000e+02,+1.97763e-09,+3.94423e-09
+3.82000e+02,+3.91646e-09,+3.87134e-09
+3.86000e+02,+3.96228e-09,+3.80037e-09
+3.90000e+02,+2.58409e-09,+3.73125e-09
+3.94000e+02,+2.19300e-09,+3.66393e-09
+3.98000e+02,+3.80357e-09,+3.59834e-09
+4.02000e+02,+4.73205e-09,+3.53443e-09
+4.06000e+02,+4.56811e-09,+3.47215e-09
+4.10000e+02,+2.78030e-09,+3.41144e-09
+4.14000e+02,+3.64466e-09,+3.35225e-09
+4.18000e+02,+3.22956e-09,+3.29453e-09
+4.22000e+02,+2.63013e-09,+3.23824e-09
+4.26000e+02,+1.84588e-09,+3.18334e-09
+4.30000e+02,+4.41812e-09,+3.12977e-09
+4.34000e+02,+3.82586e-09,+3.07750e-09
+4.38000e+02,+3.47959e-09,+3.02648e-09
+4.42000e+02,+3.84620e-09,+2.97668e-09
