dt DV_y_m08_100_m00 DV_z_m08_100_m00 DV_y_m08_090_m00 DV_z_m08_090_m00 DV_y_m08_080_m00 DV_z_m08_080_m00 DV_y_m08_070_m00 DV_z_m08_070_m00 DV_y_m08_060_m00 DV_z_m08_060_m00 DV_y_m07_100_m00 DV_z_m07_100_m00 DV_y_m07_090_m00 DV_z_m07_090_m00 DV_y_m07_080_m00 DV_z_m07_080_m00 DV_y_m07_070_m00 DV_z_m07_070_m00 DV_y_m07_060_m00 DV_z_m07_060_m00 DV_y_m06_100_m00 DV_z_m06_100_m00 DV_y_m06_090_m00 DV_z_m06_090_m00 DV_y_m06_080_m00 DV_z_m06_080_m00 DV_y_m06_070_m00 DV_z_m06_070_m00 DV_y_m06_060_m00 DV_z_m06_060_m00 DV_y_m05_100_m00 DV_z_m05_100_m00 DV_y_m05_090_m00 DV_z_m05_090_m00 DV_y_m05_080_m00 DV_z_m05_080_m00 DV_y_m05_070_m00 DV_z_m05_070_m00 DV_y_m05_060_m00 DV_z_m05_060_m00 DV_y_m04_100_m00 DV_z_m04_100_m00 DV_y_m04_090_m00 DV_z_m04_090_m00 DV_y_m04_080_m00 DV_z_m04_080_m00 DV_y_m04_070_m00 DV_z_m04_070_m00 DV_y_m04_060_m00 DV_z_m04_060_m00 DV_y_m03_100_m00 DV_z_m03_100_m00 DV_y_m03_090_m00 DV_z_m03_090_m00 DV_y_m03_080_m00 DV_z_m03_080_m00 DV_y_m03_070_m00 DV_z_m03_070_m00 DV_y_m03_060_m00 DV_z_m03_060_m00
-5.8218e+01 +1.9669e-02 +1.1606e-02 +4.8718e-03 +4.0514e-02 +7.0765e-03 +3.4323e-02 +1.2327e-02 +3.3994e-02 +1.4768e-02 +3.0849e-02 +2.4059e-03 +2.9536e-02 +6.7745e-03 +2.3379e-03 +3.6470e-03 +7.1803e-03 +3.5012e-02 +6.3694e-03 +7.8815e-02 +8.7516e-03 +1.4783e-03 +2.6491e-02 +4.9666e-03 +1.1049e-02 +7.5682e-03 +4.4502e-02 +9.1806e-03 +1.0625e-02 +6.1633e-02 +2.9176e-02 +6.1729e-03 +3.2960e-03 +1.0617e-04 +4.3050e-02 +6.3490e-03 +1.3608e-02 +1.1484e-02 +2.0316e-02 +6.2505e-02 +4.1368e-02 +7.2115e-03 +1.7200e-02 +1.0695e-03 +3.5163e-03 +8.1696e-03 +1.8042e-02 +7.3149e-02 +3.7367e-02 +2.6829e-02 +1.4004e-02 +5.0582e-03 +6.3546e-02 +1.3160e-03 +3.2948e-02 +1.7553e-02 +2.3279e-02 +3.1419e-02 +5.3509e-04 +6.2781e-02 +4.5793e-02
-5.6210e+01 +2.6153e-02 +8.6012e-03 +5.0614e-03 +1.9139e-02 +6.8699e-03 +4.0718e-02 +1.3643e-02 +3.9763e-02 +1.4582e-02 +4.5874e-02 +4.0494e-03 +3.8114e-02 +6.0847e-03 +2.1316e-03 +5.6702e-03 +2.5726e-03 +4.5055e-02 +6.5543e-03 +8.5255e-02 +1.4100e-02 +2.4310e-03 +2.8926e-02 +7.8156e-03 +1.4372e-02 +7.1819e-03 +4.5142e-02 +1.3674e-02 +1.4698e-02 +6.6502e-02 +3.4980e-02 +5.8362e-03 +2.5908e-04 +1.0820e-03 +4.2505e-02 +8.1154e-03 +1.0177e-02 +6.0651e-03 +1.4764e-02 +7.6653e-02 +3.6933e-02 +8.2780e-03 +1.8062e-02 +2.6792e-03 +7.0021e-03 +8.4468e-03 +1.0477e-02 +7.9852e-02 +3.7605e-02 +1.7430e-02 +1.0473e-03 +6.5554e-03 +7.3127e-02 +1.4729e-04 +2.4914e-02 +1.8606e-02 +5.7354e-03 +1.3409e-02 +2.3945e-03 +3.9154e-02 +4.5206e-02
-5.4202e+01 +2.9788e-02 +3.6112e-02 +6.7665e-03 +2.6217e-02 +7.2814e-03 +5.2812e-02 +1.8651e-02 +5.0527e-02 +3.1541e-02 +3.7927e-02 +3.0376e-03 +3.4586e-02 +6.0790e-03 +1.5733e-02 +7.6398e-03 +1.5592e-02 +4.5017e-02 +1.0725e-03 +8.5976e-02 +2.0036e-02 +2.1917e-03 +2.4399e-02 +1.0498e-02 +1.9092e-02 +7.2386e-03 +3.4279e-02 +2.1460e-02 +9.0601e-03 +7.3048e-02 +4.1487e-02 +5.1873e-03 +6.6374e-03 +3.6544e-04 +2.9003e-02 +8.5202e-03 +6.7296e-03 +1.2626e-02 +1.4371e-02 +7.5276e-02 +3.4458e-02 +9.4994e-03 +2.3653e-02 +2.5791e-03 +8.6870e-03 +1.0849e-02 +8.0959e-03 +7.9105e-02 +4.5150e-02 +2.1335e-02 +1.3723e-02 +8.9741e-03 +6.3385e-02 +1.1615e-03 +2.3299e-02 +1.8979e-02 +1.0669e-02 +7.4976e-03 +8.2012e-03 +3.9291e-02 +5.8020e-02
-5.2195e+01 +3.1497e-02 +6.1514e-02 +6.1248e-03 +1.8177e-02 +6.5582e-03 +4.7937e-02 +1.7325e-02 +4.7731e-02 +2.3174e-02 +1.7891e-02 +5.9919e-03 +2.3141e-02 +7.3391e-03 +1.1694e-02 +8.7036e-03 +2.5098e-02 +5.8118e-02 +7.9991e-03 +9.0742e-02 +6.7535e-03 +4.2057e-03 +2.7660e-02 +1.1373e-02 +8.0056e-03 +8.3526e-03 +2.2170e-02 +2.3561e-02 +2.3498e-02 +8.6219e-02 +4.5506e-02 +6.7413e-03 +1.5993e-02 +3.4390e-04 +3.7179e-02 +1.0396e-02 +3.5524e-03 +2.2508e-02 +2.5984e-02 +6.8278e-02 +3.3608e-02 +6.9561e-03 +2.3422e-02 +3.2270e-03 +1.3341e-02 +1.2404e-02 +2.1360e-03 +8.7966e-02 +4.1944e-02 +1.7700e-02 +1.9059e-02 +7.8890e-03 +7.3815e-02 +5.1361e-03 +3.1767e-02 +1.5659e-02 +1.3146e-02 +3.5297e-03 +1.0517e-02 +2.1685e-02 +4.9832e-02
-5.0188e+01 +3.7689e-02 +2.5514e-02 +8.7667e-03 +1.0264e-02 +4.8116e-03 +4.7036e-02 +1.8676e-02 +4.7429e-02 +2.0343e-02 +5.9945e-03 +5.8372e-03 +1.2447e-02 +6.3707e-03 +2.6685e-02 +1.0164e-02 +4.3976e-02 +5.6072e-02 +2.4311e-03 +7.4900e-02 +9.8635e-03 +2.8234e-03 +2.3050e-02 +1.0982e-02 +1.3970e-02 +8.1964e-03 +1.3601e-02 +8.8935e-03 +4.1162e-02 +9.6438e-02 +3.8649e-02 +6.2981e-03 +2.3457e-02 +8.1184e-04 +2.7773e-02 +1.0358e-02 +3.4564e-03 +3.3168e-02 +3.0398e-02 +7.1328e-02 +3.2472e-02 +8.1967e-03 +1.5934e-02 +4.8928e-03 +1.6954e-02 +1.2245e-02 +9.2373e-03 +9.0661e-02 +5.0133e-02 +2.4616e-02 +1.8445e-02 +9.0497e-03 +5.7778e-02 +7.7319e-03 +1.4419e-02 +1.6013e-02 +1.6957e-03 +2.7607e-02 +1.3247e-02 +7.0168e-04 +2.9931e-02
-4.8180e+01 +4.4324e-02 +2.5907e-02 +1.0227e-02 +3.2115e-02 +5.9061e-03 +4.8969e-02 +1.0769e-02 +7.1767e-02 +2.9429e-02 +5.4494e-03 +4.3812e-03 +1.4094e-02 +6.4462e-03 +3.3180e-02 +1.1421e-02 +4.3303e-02 +5.9660e-02 +7.0135e-03 +9.2650e-02 +4.0149e-03 +3.3027e-03 +7.3207e-03 +1.2843e-02 +3.0082e-02 +8.2779e-03 +2.6244e-02 +5.5623e-03 +4.9380e-02 +1.0457e-01 +1.9072e-02 +6.8109e-03 +2.2282e-02 +3.6048e-03 +3.1094e-02 +9.6754e-03 +1.0503e-02 +4.2544e-02 +2.5183e-02 +7.1391e-02 +4.1026e-02 +9.1654e-03 +1.2258e-02 +6.4788e-03 +1.8373e-02 +1.4898e-02 +9.7616e-03 +7.2253e-02 +4.3087e-02 +2.7678e-02 +1.6792e-02 +8.1550e-03 +4.8880e-02 +1.0472e-02 +3.5111e-02 +1.6952e-02 +6.1039e-03 +1.6935e-02 +3.8635e-02 +6.7642e-03 +3.6778e-02
-4.6173e+01 +4.0739e-02 +3.1975e-02 +1.0504e-02 +3.7364e-02 +6.1360e-03 +3.7647e-02 +7.3546e-03 +6.8615e-02 +3.3505e-02 +2.3389e-03 +5.4296e-03 +2.6061e-02 +8.1709e-03 +4.3710e-02 +1.1238e-02 +4.2961e-02 +5.6962e-02 +1.3911e-02 +9.2584e-02 +7.5067e-03 +2.8594e-03 +1.3330e-02 +1.3503e-02 +5.2608e-02 +8.5227e-03 +5.1593e-02 +1.8498e-02 +4.6229e-02 +1.0485e-01 +7.8886e-03 +5.1257e-03 +2.9182e-02 +3.0900e-03 +2.4106e-02 +1.1686e-02 +2.7174e-03 +3.9124e-02 +1.8288e-02 +6.9876e-02 +5.2651e-02 +9.6380e-03 +2.0007e-02 +5.8719e-03 +2.7421e-02 +1.5029e-02 +1.3492e-02 +7.0423e-02 +4.3651e-02 +2.4343e-02 +4.3196e-03 +5.4446e-03 +5.3156e-02 +9.7775e-03 +4.9407e-02 +1.5544e-02 +2.6721e-02 +1.9021e-02 +3.6473e-02 +1.1757e-05 +5.5941e-02
-4.4165e+01 +4.0263e-02 +3.3322e-02 +1.1679e-02 +4.5184e-02 +6.1443e-03 +4.2237e-02 +5.8325e-03 +7.6891e-02 +3.6615e-02 +3.1409e-03 +7.0162e-03 +1.7754e-02 +8.2132e-03 +3.1221e-02 +1.3176e-02 +3.9343e-02 +4.5817e-02 +1.8180e-02 +8.9651e-02 +3.1069e-03 +3.5537e-03 +1.5634e-02 +1.4550e-02 +5.0465e-02 +8.6529e-03 +4.6783e-02 +1.9492e-02 +3.2255e-02 +9.9458e-02 +2.1001e-02 +2.3796e-03 +3.5338e-02 +4.6576e-03 +9.3269e-03 +1.3590e-02 +1.6234e-03 +5.3648e-02 +5.1239e-03 +7.4087e-02 +5.7634e-02 +9.4290e-03 +2.2814e-02 +6.8379e-03 +3.1832e-02 +1.5596e-02 +2.0823e-02 +7.2217e-02 +3.5992e-02 +3.4222e-02 +2.6043e-03 +3.4908e-03 +5.2237e-02 +8.6151e-03 +5.9610e-02 +1.1887e-02 +3.4309e-02 +2.4950e-02 +5.1395e-02 +2.0587e-02 +4.9622e-02
-4.2157e+01 +3.8224e-02 +5.4949e-02 +1.3183e-02 +4.3094e-02 +5.9799e-03 +3.5910e-02 +1.0049e-02 +6.4687e-02 +3.3901e-02 +3.3647e-03 +8.3727e-03 +9.0131e-03 +8.2761e-03 +1.9889e-02 +1.3856e-02 +4.4034e-02 +4.2295e-02 +1.7841e-02 +8.8366e-02 +2.4066e-02 +5.9784e-03 +3.4551e-02 +1.4109e-02 +2.5780e-02 +1.1008e-02 +3.5838e-02 +1.1305e-02 +1.3187e-02 +1.0519e-01 +4.1314e-02 +2.3152e-03 +1.4098e-02 +4.6742e-03 +1.4670e-02 +1.5271e-02 +1.4554e-03 +6.2435e-02 +2.0524e-02 +8.2634e-02 +5.1230e-02 +9.2910e-03 +2.0230e-02 +5.4888e-03 +3.0301e-02 +1.4755e-02 +2.7805e-02 +5.6805e-02 +5.2971e-02 +1.8781e-02 +5.8595e-03 +5.9955e-04 +7.1555e-02 +9.2206e-03 +4.0958e-02 +1.1475e-02 +4.2482e-02 +5.2390e-03 +2.3815e-02 +1.1852e-02 +3.2538e-02
-4.0150e+01 +3.7652e-02 +8.7033e-02 +1.4847e-02 +3.7790e-02 +3.6035e-03 +4.7945e-02 +5.4074e-03 +5.3568e-02 +1.6345e-02 +9.3631e-03 +9.0530e-03 +1.4273e-02 +1.0688e-02 +3.7773e-02 +1.4781e-02 +3.6756e-02 +4.5530e-02 +2.8958e-02 +9.7766e-02 +8.6148e-03 +6.1339e-03 +2.8200e-02 +1.4924e-02 +1.6513e-02 +1.1062e-02 +2.3195e-02 +2.0011e-02 +6.9648e-03 +1.0346e-01 +5.3488e-02 +1.7009e-03 +6.4735e-04 +8.1066e-03 +3.1700e-02 +1.6258e-02 +3.5944e-04 +5.4061e-02 +3.3256e-02 +7.3748e-02 +4.5280e-02 +9.0618e-03 +1.6549e-02 +3.9296e-03 +1.6952e-02 +1.2872e-02 +2.3395e-02 +5.1276e-02 +3.4331e-02 +9.9736e-04 +5.5062e-03 +1.0126e-03 +5.6584e-02 +7.9569e-03 +3.2351e-02 +9.8577e-03 +4.6079e-02 +3.5188e-03 +3.4085e-03 +1.3615e-02 +2.5661e-02
