dt DV_y_m08_100_m00 DV_z_m08_100_m00 DV_y_m08_090_m00 DV_z_m08_090_m00 DV_y_m08_080_m00 DV_z_m08_080_m00 DV_y_m08_070_m00 DV_z_m08_070_m00 DV_y_m08_060_m00 DV_z_m08_060_m00 DV_y_m07_100_m00 DV_z_m07_100_m00 DV_y_m07_090_m00 DV_z_m07_090_m00 DV_y_m07_080_m00 DV_z_m07_080_m00 DV_y_m07_070_m00 DV_z_m07_070_m00 DV_y_m07_060_m00 DV_z_m07_060_m00 DV_y_m06_100_m00 DV_z_m06_100_m00 DV_y_m06_090_m00 DV_z_m06_090_m00 DV_y_m06_080_m00 DV_z_m06_080_m00 DV_y_m06_070_m00 DV_z_m06_070_m00 DV_y_m06_060_m00 DV_z_m06_060_m00 DV_y_m05_100_m00 DV_z_m05_100_m00 DV_y_m05_090_m00 DV_z_m05_090_m00 DV_y_m05_080_m00 DV_z_m05_080_m00 DV_y_m05_070_m00 DV_z_m05_070_m00 DV_y_m05_060_m00 DV_z_m05_060_m00 DV_y_m04_100_m00 DV_z_m04_100_m00 DV_y_m04_090_m00 DV_z_m04_090_m00 DV_y_m04_080_m00 DV_z_m04_080_m00 DV_y_m04_070_m00 DV_z_m04_070_m00 DV_y_m04_060_m00 DV_z_m04_060_m00 DV_y_m03_100_m00 DV_z_m03_100_m00 DV_y_m03_090_m00 DV_z_m03_090_m00 DV_y_m03_080_m00 DV_z_m03_080_m00 DV_y_m03_070_m00 DV_z_m03_070_m00 DV_y_m03_060_m00 DV_z_m03_060_m00
-3.8142e+01 +3.4473e-02 +7.9023e-02 +1.1788e-02 +1.7718e-02 +2.2392e-03 +5.0774e-02 +1.1537e-02 +5.6559e-02 +1.9376e-02 +2.2462e-02 +8.2128e-03 +1.0554e-02 +9.2932e-03 +3.3486e-02 +1.5161e-02 +3.0153e-02 +3.7117e-02 +5.2487e-03 +1.1448e-01 +5.3657e-03 +5.8323e-03 +2.4803e-02 +1.4054e-02 +2.0369e-02 +1.1873e-02 +2.0440e-02 +2.3209e-02 +4.6279e-03 +9.9036e-02 +5.2383e-02 +8.5961e-04 +1.3557e-02 +1.1211e-02 +4.1550e-02 +1.6353e-02 +1.0360e-03 +5.5222e-02 +5.2228e-02 +8.6360e-02 +4.3576e-02 +9.4732e-03 +2.2921e-02 +4.3030e-03 +1.0631e-02 +1.2119e-02 +2.6961e-02 +5.3169e-02 +2.9391e-02 +4.3794e-03 +9.2176e-03 +3.7716e-03 +5.7706e-02 +9.5805e-03 +1.3608e-02 +9.3267e-03 +2.8844e-02 +1.2832e-02 +5.6192e-03 +2.4083e-02 +3.6301e-02
-3.6135e+01 +3.3829e-02 +6.8770e-02 +1.1433e-02 +3.0154e-02 +2.3899e-03 +6.3145e-02 +1.2954e-02 +4.4066e-02 +1.1105e-02 +1.1180e-02 +7.8517e-03 +3.1150e-02 +8.2591e-03 +3.1492e-02 +1.5977e-02 +3.2476e-02 +2.5105e-02 +1.3321e-02 +1.0582e-01 +2.8998e-03 +6.0692e-03 +1.1255e-02 +1.3178e-02 +1.4265e-02 +1.2734e-02 +2.9131e-02 +2.4616e-02 +1.9156e-02 +8.5267e-02 +4.4060e-02 +8.5479e-04 +5.3987e-03 +1.0603e-02 +4.5293e-02 +1.6159e-02 +1.1582e-02 +5.3010e-02 +3.0968e-02 +8.0152e-02 +4.9237e-02 +9.8331e-03 +1.3817e-02 +4.4576e-03 +1.0540e-02 +1.1727e-02 +2.7279e-02 +6.4915e-02 +2.9940e-02 +2.2655e-02 +1.4233e-02 +5.3398e-03 +6.6612e-02 +1.1878e-02 +1.8938e-02 +1.3091e-02 +3.1039e-02 +4.1980e-02 +1.4528e-02 +1.6530e-02 +5.8774e-02
-3.4128e+01 +3.3437e-02 +2.0546e-02 +9.3643e-03 +1.8500e-02 +2.8278e-03 +4.0358e-02 +4.5245e-03 +3.5376e-02 +1.8333e-02 +1.8437e-03 +6.3494e-03 +3.7867e-02 +6.6361e-03 +3.6003e-02 +1.5491e-02 +2.9494e-02 +3.5540e-02 +3.7234e-03 +1.0942e-01 +4.4987e-03 +8.0143e-03 +2.4808e-02 +1.1813e-02 +3.1742e-02 +1.2249e-02 +4.1618e-02 +2.3677e-02 +3.5912e-04 +8.2795e-02 +3.7976e-02 +5.1080e-04 +3.0383e-03 +1.1227e-02 +3.6944e-02 +1.8667e-02 +1.5015e-03 +6.1204e-02 +2.8573e-02 +7.6197e-02 +6.2278e-02 +1.0631e-02 +8.1988e-03 +3.8495e-03 +1.6921e-02 +1.0947e-02 +1.3385e-02 +6.9596e-02 +4.4758e-02 +2.7027e-02 +7.9370e-03 +5.1383e-03 +6.1676e-02 +8.6572e-03 +2.2661e-02 +1.4469e-02 +1.1763e-02 +2.0760e-02 +2.9771e-02 +1.0072e-02 +4.7790e-02
-3.2120e+01 +3.0413e-02 +4.6237e-04 +7.7816e-03 +4.3662e-02 +5.6241e-03 +4.4141e-02 +4.8798e-03 +4.8583e-02 +3.6306e-02 +2.0463e-02 +8.0048e-03 +3.1216e-02 +7.7769e-03 +1.7539e-02 +1.4697e-02 +4.0279e-02 +4.0542e-02 +8.3564e-03 +1.1336e-01 +6.3046e-03 +8.7836e-03 +2.0025e-02 +1.2332e-02 +2.7434e-02 +1.3609e-02 +4.8292e-02 +1.0188e-02 +3.0519e-03 +7.3496e-02 +2.8136e-02 +2.4363e-04 +8.0264e-03 +1.0907e-02 +3.5289e-02 +1.8397e-02 +5.9723e-03 +4.5321e-02 +1.9056e-02 +7.5399e-02 +4.8659e-02 +1.2788e-02 +2.1102e-02 +3.6024e-03 +2.6442e-02 +8.0242e-03 +1.2576e-02 +9.1128e-02 +4.6479e-02 +1.9906e-02 +2.3302e-02 +4.3499e-03 +6.6793e-02 +8.0008e-03 +3.5334e-02 +1.7779e-02 +3.6770e-03 +9.4528e-03 +1.7083e-02 +1.8624e-03 +4.8820e-02
-3.0112e+01 +3.5700e-02 +2.2713e-02 +9.6977e-03 +3.8539e-02 +6.9391e-03 +4.6610e-02 +8.3162e-03 +4.8139e-02 +3.2305e-02 +4.0775e-02 +6.0384e-03 +1.2537e-02 +8.9373e-03 +2.0985e-03 +1.6891e-02 +4.3781e-02 +2.4716e-02 +8.8273e-03 +9.7093e-02 +2.6350e-03 +8.8552e-03 +1.7340e-02 +1.2542e-02 +1.3193e-02 +1.2979e-02 +5.1521e-02 +1.5552e-02 +1.1675e-02 +7.2429e-02 +3.1061e-02 +4.3426e-04 +1.4923e-02 +1.1372e-02 +2.8591e-02 +1.8017e-02 +3.7343e-03 +2.8665e-02 +2.1547e-02 +6.6699e-02 +3.0487e-02 +1.4257e-02 +3.8515e-02 +2.2782e-03 +2.9562e-02 +6.8203e-03 +1.0265e-02 +8.9986e-02 +3.5100e-02 +4.6651e-03 +2.2189e-02 +3.5326e-03 +7.4068e-02 +8.5813e-03 +2.9375e-02 +1.7299e-02 +1.9252e-02 +4.5899e-03 +1.6439e-02 +1.9963e-02 +5.5919e-02
-2.8105e+01 +3.7827e-02 +1.6313e-02 +1.0653e-02 +5.1306e-02 +8.0704e-03 +4.4889e-02 +5.9707e-03 +6.9868e-02 +2.1821e-02 +1.8252e-02 +6.8719e-03 +2.3663e-03 +9.1870e-03 +9.7111e-03 +1.5659e-02 +5.4050e-02 +3.0349e-02 +1.3040e-02 +8.7014e-02 +5.4490e-05 +7.3833e-03 +1.9284e-02 +1.3525e-02 +1.2251e-02 +1.3937e-02 +4.6879e-02 +1.8490e-02 +1.0649e-02 +7.5248e-02 +4.4775e-02 +5.9891e-04 +1.2937e-02 +1.0278e-02 +3.4768e-02 +1.8536e-02 +4.1973e-03 +2.3468e-02 +1.7547e-02 +8.0517e-02 +2.5043e-02 +1.4586e-02 +3.7754e-02 +1.8383e-03 +1.3577e-02 +6.1176e-03 +2.3257e-02 +8.6212e-02 +3.4504e-02 +4.5686e-05 +2.4699e-02 +3.9417e-03 +7.1322e-02 +1.0155e-02 +3.7307e-02 +1.5260e-02 +1.0510e-02 +9.7237e-03 +1.5968e-02 +3.5008e-02 +3.6488e-02
-2.6098e+01 +4.0155e-02 +2.1930e-02 +9.6848e-03 +6.7531e-02 +6.9893e-03 +5.3126e-02 +5.4479e-03 +6.4667e-02 +1.9446e-02 +3.7448e-02 +7.1812e-03 +2.6002e-03 +8.8116e-03 +1.6269e-02 +1.5668e-02 +5.5489e-02 +3.8498e-02 +9.3727e-03 +8.7509e-02 +4.1020e-04 +7.8661e-03 +7.3370e-03 +1.3590e-02 +1.3311e-02 +1.4023e-02 +3.0490e-02 +2.4108e-02 +7.5534e-03 +5.9556e-02 +2.5856e-02 +2.4515e-04 +3.9522e-03 +9.3218e-03 +5.2582e-02 +1.9164e-02 +2.3795e-03 +2.8121e-02 +3.5352e-02 +7.7823e-02 +3.0238e-02 +1.2646e-02 +4.5747e-02 +3.0283e-03 +2.0654e-03 +8.6471e-03 +2.2989e-02 +8.9755e-02 +2.1309e-02 +1.1950e-02 +1.4726e-02 +3.9359e-03 +9.2632e-02 +1.7422e-02 +4.5486e-02 +1.5694e-02 +1.2527e-02 +3.3875e-02 +1.4527e-02 +1.1114e-02 +3.7374e-02
-2.4090e+01 +3.5861e-02 +2.9038e-02 +1.1785e-02 +7.1919e-02 +6.9307e-03 +6.6378e-02 +3.6315e-03 +7.1773e-02 +3.1551e-03 +3.0245e-02 +8.5177e-03 +1.1205e-02 +7.7425e-03 +1.6171e-03 +1.4701e-02 +6.4639e-02 +3.4218e-02 +3.1787e-03 +8.7920e-02 +2.2430e-03 +7.5668e-03 +2.9268e-03 +1.3616e-02 +2.7308e-02 +1.1625e-02 +3.0841e-02 +3.6065e-02 +6.9585e-03 +7.6397e-02 +3.7880e-02 +1.7386e-03 +1.4208e-02 +1.1343e-02 +4.3695e-02 +2.0216e-02 +2.7301e-02 +2.8898e-02 +1.8605e-02 +7.5463e-02 +4.4847e-02 +1.1924e-02 +5.6527e-02 +2.9833e-03 +4.6431e-03 +6.9392e-03 +1.6916e-02 +7.3095e-02 +1.2886e-02 +5.1822e-03 +3.3717e-02 +3.9016e-03 +9.3585e-02 +1.5429e-02 +1.7371e-02 +1.7346e-02 +4.5609e-02 +4.4532e-02 +1.3984e-02 +3.9728e-03 +3.9099e-02
-2.2082e+01 +3.9318e-02 +2.0762e-02 +1.2731e-02 +4.6642e-02 +5.9515e-03 +5.3916e-02 +1.2986e-03 +6.9086e-02 +1.1793e-03 +4.5153e-02 +9.3045e-03 +5.2400e-03 +9.4565e-03 +5.4906e-03 +1.5864e-02 +7.4735e-02 +4.1118e-02 +1.5963e-02 +8.0243e-02 +2.9900e-02 +7.1059e-03 +5.8875e-03 +1.3551e-02 +2.2690e-02 +1.0443e-02 +2.6300e-02 +3.9268e-02 +8.0961e-03 +9.0354e-02 +4.7705e-02 +3.3472e-03 +3.6160e-02 +7.4050e-03 +2.7462e-02 +1.8848e-02 +3.4635e-02 +1.4117e-02 +3.2033e-02 +8.0317e-02 +5.0897e-02 +1.3143e-02 +5.3646e-02 +2.5008e-03 +1.4304e-02 +5.4248e-03 +1.4590e-02 +6.5493e-02 +1.1793e-02 +4.8638e-03 +4.9247e-02 +7.9353e-03 +1.0457e-01 +1.9178e-02 +5.6982e-03 +1.6798e-02 +5.2372e-02 +4.4515e-02 +1.9305e-02 +8.4502e-03 +6.0654e-02
-2.0075e+01 +4.1322e-02 +2.6685e-02 +1.3627e-02 +6.0654e-02 +7.0140e-03 +4.4100e-02 +3.9444e-03 +5.5508e-02 +3.4738e-03 +1.9577e-02 +9.1676e-03 +2.2684e-04 +8.8376e-03 +1.3747e-02 +1.5956e-02 +7.7661e-02 +4.8038e-02 +2.6694e-02 +7.4994e-02 +2.8114e-02 +6.8914e-03 +1.9993e-02 +1.4303e-02 +2.3622e-02 +1.0982e-02 +2.9293e-02 +4.6246e-02 +1.2353e-02 +9.6473e-02 +4.5395e-02 +4.0566e-03 +6.0405e-02 +8.7516e-03 +3.0703e-02 +1.7259e-02 +2.5056e-02 +1.1251e-02 +3.7524e-02 +8.0144e-02 +5.8777e-02 +1.3051e-02 +6.0991e-02 +5.6221e-03 +2.1633e-02 +4.6538e-03 +2.4087e-03 +5.9643e-02 +1.8344e-02 +2.6889e-05 +4.9863e-02 +9.9438e-03 +1.0707e-01 +1.8523e-02 +5.6640e-03 +1.6404e-02 +1.6028e-02 +5.0840e-02 +3.0781e-03 +2.2503e-02 +5.2570e-02
-1.8068e+01 +4.4815e-02 +5.0497e-02 +1.2392e-02 +3.5428e-02 +8.1253e-03 +3.4754e-02 +4.9277e-03 +7.7119e-02 +7.5524e-03 +2.6647e-02 +1.0158e-02 +1.1530e-02 +9.2637e-03 +2.9252e-02 +1.4357e-02 +7.1071e-02 +5.6267e-02 +3.0088e-02 +7.2479e-02 +4.2750e-03 +7.0537e-03 +2.2574e-02 +1.5003e-02 +1.3458e-02 +8.8270e-03 +1.9019e-02 +3.9229e-02 +1.9240e-02 +9.1626e-02 +5.1268e-02 +4.3639e-03 +6.0516e-02 +8.6985e-03 +3.2431e-02 +1.5459e-02 +1.4972e-02 +4.2954e-03 +4.3976e-02 +7.0178e-02 +4.3013e-02 +9.7118e-03 +5.3997e-02 +6.4651e-03 +1.3599e-02 +7.8257e-03 +8.5744e-03 +6.8258e-02 +2.9104e-02 +6.7580e-03 +4.4742e-02 +1.1621e-02 +9.2889e-02 +1.6783e-02 +1.3138e-02 +1.5988e-02 +1.2938e-02 +4.8887e-02 +1.1283e-02 +3.3453e-02 +4.1066e-02
-1.6060e+01 +4.4841e-02 +2.6756e-02 +1.0428e-02 +5.8287e-02 +1.0534e-02 +3.4983e-02 +2.4514e-03 +9.5795e-02 +2.6624e-02 +5.6855e-03 +1.0296e-02 +9.5751e-03 +1.0134e-02 +2.1373e-02 +1.5293e-02 +8.9057e-02 +7.0418e-02 +1.7237e-02 +9.5599e-02 +5.6241e-03 +3.3499e-03 +1.0634e-02 +1.3554e-02 +2.1353e-02 +8.7530e-03 +1.5431e-02 +3.7582e-02 +1.9748e-02 +1.0220e-01 +4.9613e-02 +4.0913e-03 +5.2130e-02 +8.4302e-03 +2.5907e-02 +1.6049e-02 +1.8072e-02 +7.0313e-03 +3.5332e-02 +7.9250e-02 +4.8529e-02 +1.0429e-02 +4.9984e-02 +5.5681e-03 +1.1573e-03 +8.8117e-03 +2.4096e-02 +7.7782e-02 +3.4738e-02 +2.4462e-02 +3.6969e-02 +1.3130e-02 +8.5998e-02 +1.6712e-02 +1.2334e-02 +1.6793e-02 +7.6852e-03 +6.6247e-02 +4.2833e-03 +1.0526e-02 +5.8757e-02
-1.4053e+01 +4.0630e-02 +1.5512e-02 +1.0452e-02 +5.2498e-02 +1.2560e-02 +3.5927e-02 +1.8236e-02 +1.2908e-01 +3.1707e-02 +9.6196e-03 +1.0643e-02 +6.6627e-03 +1.2571e-02 +2.7667e-02 +1.7185e-02 +8.5684e-02 +7.8214e-02 +1.8759e-02 +1.0368e-01 +2.2972e-02 +1.0931e-03 +1.2671e-02 +1.3918e-02 +3.1256e-02 +7.0897e-03 +2.4221e-02 +4.0112e-02 +2.0740e-02 +9.2921e-02 +3.8433e-02 +2.6323e-03 +4.7834e-02 +7.1984e-03 +2.9152e-02 +1.6128e-02 +3.4198e-03 +1.0184e-02 +1.9562e-02 +8.3813e-02 +5.9583e-02 +1.1511e-02 +5.3914e-02 +2.8814e-03 +1.8729e-03 +7.4607e-03 +2.0133e-02 +8.6641e-02 +2.5018e-02 +4.5543e-02 +3.1705e-02 +1.2780e-02 +9.0431e-02 +1.9946e-02 +2.1851e-02 +1.6666e-02 +1.4086e-02 +6.2006e-02 +4.4414e-03 +1.7621e-02 +5.7016e-02
-1.2045e+01 +4.0341e-02 +2.8601e-02 +1.0940e-02 +5.7924e-02 +1.3435e-02 +3.3179e-02 +2.3850e-02 +1.2975e-01 +3.3531e-02 +1.3505e-02 +1.1412e-02 +3.0842e-02 +1.1228e-02 +1.0979e-02 +1.8176e-02 +9.3338e-02 +8.2493e-02 +1.8569e-02 +1.1479e-01 +2.0770e-02 +5.6711e-04 +4.7731e-03 +1.5001e-02 +3.0170e-02 +7.4410e-03 +4.4224e-02 +3.8998e-02 +9.5482e-03 +9.0013e-02 +4.7028e-02 +4.8420e-03 +4.9244e-02 +5.7873e-03 +1.5112e-02 +1.8828e-02 +1.9657e-03 +7.0742e-03 +3.9453e-03 +9.2728e-02 +5.5515e-02 +9.5684e-03 +4.9026e-02 +5.6127e-03 +5.8550e-03 +6.6459e-03 +3.4272e-02 +8.6458e-02 +4.0587e-02 +6.1382e-02 +2.6408e-02 +1.4164e-02 +8.2884e-02 +2.3891e-02 +3.0829e-02 +1.4780e-02 +2.6272e-02 +5.1332e-02 +8.5080e-03 +8.8771e-03 +9.1865e-02
-1.0038e+01 +4.0555e-02 +3.7225e-03 +1.2807e-02 +8.7318e-02 +1.2480e-02 +2.0211e-02 +2.0683e-02 +1.4098e-01 +4.3823e-02 +1.5266e-02 +1.1907e-02 +1.5861e-02 +1.2392e-02 +1.0160e-02 +1.7567e-02 +8.1303e-02 +6.2067e-02 +2.8643e-02 +1.3523e-01 +1.5553e-02 +2.1164e-05 +2.8129e-03 +1.6431e-02 +3.0127e-02 +9.4884e-03 +5.9485e-02 +3.7860e-02 +8.6483e-03 +9.6919e-02 +4.7927e-02 +4.1948e-03 +4.5638e-02 +6.0752e-03 +2.1912e-02 +1.7598e-02 +7.4005e-03 +1.7462e-02 +8.2463e-03 +9.7015e-02 +6.2443e-02 +1.1437e-02 +5.5043e-02 +9.3648e-03 +2.9189e-03 +9.4928e-03 +2.4155e-02 +9.8319e-02 +3.2469e-02 +6.4746e-02 +3.8463e-02 +1.3228e-02 +1.0684e-01 +2.2119e-02 +6.0585e-02 +1.4947e-02 +4.1006e-02 +5.2041e-02 +2.9284e-02 +2.3040e-02 +1.1201e-01
-8.0300e+00 +4.5670e-02 +2.7416e-02 +1.1899e-02 +8.2322e-02 +1.3140e-02 +3.4071e-02 +1.0765e-02 +9.7654e-02 +4.3982e-02 +2.8729e-02 +1.2355e-02 +2.2572e-02 +1.3818e-02 +2.2681e-02 +1.4906e-02 +8.7512e-02 +5.3983e-02 +2.5692e-02 +1.1961e-01 +4.6078e-03 +2.1675e-03 +1.6215e-02 +1.4312e-02 +2.3602e-02 +9.3640e-03 +4.3416e-02 +4.9245e-02 +1.0900e-02 +1.0798e-01 +7.3009e-02 +5.8769e-03 +5.5965e-02 +7.6307e-03 +1.0801e-02 +1.6958e-02 +2.6497e-03 +2.0619e-02 +5.2383e-03 +8.9790e-02 +5.3993e-02 +1.2647e-02 +5.1433e-02 +1.3446e-02 +3.8182e-03 +1.2469e-02 +2.4631e-02 +9.2255e-02 +4.5732e-02 +8.9899e-02 +4.7919e-02 +1.1154e-02 +1.1156e-01 +2.2849e-02 +4.8388e-02 +1.6259e-02 +3.5276e-02 +3.8354e-02 +5.7685e-02 +1.7741e-02 +9.9815e-02
-6.0225e+00 +4.6700e-02 +2.8823e-02 +1.1187e-02 +3.1023e-02 +1.3278e-02 +1.2504e-02 +6.6349e-03 +9.9858e-02 +3.9849e-02 +1.8556e-02 +1.3964e-02 +4.2751e-02 +1.5523e-02 +5.0401e-02 +1.4367e-02 +7.7094e-02 +5.5379e-02 +2.7900e-02 +1.2259e-01 +1.3199e-03 +1.5011e-03 +1.7676e-02 +1.4491e-02 +1.4324e-02 +9.4300e-03 +2.7428e-02 +5.4751e-02 +1.8686e-02 +1.1131e-01 +7.8932e-02 +3.8775e-03 +4.9392e-02 +7.5746e-03 +1.4335e-02 +1.9116e-02 +2.4811e-03 +2.7735e-02 +1.5576e-03 +9.2050e-02 +3.9077e-02 +1.4092e-02 +4.7083e-02 +1.2540e-02 +1.0860e-05 +1.2172e-02 +3.4537e-02 +6.6256e-02 +4.6890e-02 +9.1360e-02 +5.3927e-02 +9.7424e-03 +1.2390e-01 +2.2428e-02 +4.0755e-02 +1.8556e-02 +6.3160e-03 +4.0113e-02 +6.2982e-02 +6.3412e-03 +7.1747e-02
-4.0150e+00 +4.7792e-02 +3.9353e-02 +1.2823e-02 +3.3221e-02 +1.2710e-02 +1.1376e-02 +1.1099e-02 +9.5461e-02 +3.0008e-02 +1.6236e-02 +1.1271e-02 +2.9758e-02 +1.3413e-02 +4.0705e-02 +1.4202e-02 +7.2957e-02 +5.9350e-02 +1.2565e-02 +1.2610e-01 +1.1602e-02 +3.1138e-03 +8.3068e-03 +1.6679e-02 +1.7252e-02 +7.1240e-03 +8.9218e-03 +4.7455e-02 +1.0786e-02 +1.0844e-01 +7.4133e-02 +1.9210e-03 +3.0453e-02 +7.1487e-03 +3.2015e-02 +1.7812e-02 +1.7137e-02 +2.8980e-02 +4.0427e-03 +8.7503e-02 +3.0338e-02 +1.3156e-02 +5.2425e-02 +1.3109e-02 +7.9180e-04 +1.1088e-02 +2.0853e-02 +6.3383e-02 +3.8155e-02 +8.5465e-02 +5.9924e-02 +1.0294e-02 +1.3663e-01 +2.2846e-02 +4.4426e-02 +1.9489e-02 +8.4441e-03 +3.9613e-02 +6.5139e-02 +4.7951e-03 +7.4811e-02
-2.0075e+00 +4.9220e-02 +1.6258e-02 +1.1862e-02 +2.1911e-02 +1.3988e-02 +9.7379e-03 +1.8910e-03 +1.0500e-01 +1.4239e-02 +3.3489e-02 +8.8036e-03 +3.4735e-02 +1.3423e-02 +3.6252e-02 +1.4635e-02 +6.9290e-02 +5.4335e-02 +2.2304e-03 +1.1704e-01 +2.2180e-02 +2.1217e-03 +6.3787e-03 +1.5401e-02 +4.4685e-02 +6.9846e-03 +1.7339e-02 +5.0691e-02 +4.2802e-03 +9.6376e-02 +5.4137e-02 +7.8520e-04 +4.5248e-02 +9.1178e-03 +3.2132e-02 +1.7853e-02 +1.2070e-02 +2.5452e-02 +7.0834e-03 +8.8408e-02 +2.4765e-02 +1.1735e-02 +4.1698e-02 +1.2979e-02 +7.9738e-03 +9.4709e-03 +6.7225e-03 +5.4563e-02 +2.9859e-02 +8.3096e-02 +5.3386e-02 +1.0185e-02 +1.0663e-01 +2.0207e-02 +4.9255e-02 +1.6850e-02 +1.4628e-02 +3.6810e-02 +5.2662e-02 +4.5370e-03 +6.8033e-02
+0.0000e+00 +4.5870e-02 +1.9035e-02 +1.2662e-02 +4.2291e-02 +1.2977e-02 +1.4138e-02 +2.3887e-03 +1.0968e-01 +3.9643e-03 +3.3428e-02 +7.0694e-03 +2.4435e-02 +1.3873e-02 +5.1970e-02 +1.3747e-02 +6.2696e-02 +4.7219e-02 +1.4105e-02 +1.0629e-01 +2.5014e-03 +2.8358e-03 +1.4458e-03 +1.7132e-02 +5.5260e-02 +7.0170e-03 +3.9998e-02 +6.1806e-02 +1.0859e-02 +8.1361e-02 +4.9085e-02 +1.5731e-03 +6.7414e-02 +8.7362e-03 +2.0801e-02 +1.6728e-02 +3.2044e-03 +2.5778e-02 +8.1767e-03 +8.0663e-02 +2.9828e-02 +1.0534e-02 +4.4822e-02 +1.1576e-02 +7.3147e-03 +8.6799e-03 +7.7628e-03 +5.8110e-02 +4.2463e-02 +9.1684e-02 +5.6440e-02 +1.0523e-02 +1.2566e-01 +1.8756e-02 +5.1474e-02 +1.7493e-02 +2.5364e-02 +3.8907e-02 +3.3065e-02 +3.9587e-03 +7.9961e-02
+2.0075e+00 +5.6706e-02 +1.1117e-02 +1.4990e-02 +7.8079e-02 +1.7290e-02 +4.4836e-02 +9.3900e-03 +1.2530e-01 +4.8360e-02 +5.5696e-02 +2.8761e-03 +8.0157e-03 +1.8007e-02 +7.6428e-02 +1.9714e-02 +1.0102e-01 +2.0761e-02 +2.5321e-02 +1.2911e-01 +4.0356e-03 +6.9147e-03 +9.4884e-03 +2.1696e-02 +6.2811e-02 +1.3619e-02 +6.6878e-02 +8.0066e-02 +1.9093e-02 +6.0405e-02 +3.8512e-02 +1.9856e-03 +5.3207e-02 +1.8523e-02 +1.5942e-03 +7.3157e-03 +2.4502e-02 +4.9193e-02 +2.1340e-02 +5.4700e-02 +3.3781e-02 +5.6223e-03 +4.0864e-02 +2.1386e-02 +1.6593e-03 +2.5689e-03 +1.2710e-02 +8.1679e-02 +3.9395e-02 +1.1150e-01 +4.8756e-02 +2.6874e-03 +9.2553e-02 +2.6903e-02 +6.3637e-02 +1.2185e-02 +2.3885e-02 +1.3889e-02 +4.8448e-02 +2.2901e-02 +8.4053e-02
+4.0150e+00 +6.5916e-02 +1.9375e-02 +2.0219e-02 +9.1869e-02 +2.2108e-02 +5.0596e-02 +2.2262e-02 +1.3164e-01 +5.7980e-02 +6.2688e-02 +3.3206e-03 +2.7070e-03 +2.3227e-02 +9.0475e-02 +2.6066e-02 +1.1169e-01 +1.4599e-02 +2.4679e-02 +1.4547e-01 +4.2078e-03 +1.3534e-02 +8.3137e-03 +2.8254e-02 +7.7492e-02 +1.9727e-02 +7.4236e-02 +1.1769e-01 +6.0071e-03 +2.8253e-02 +3.4738e-02 +7.4187e-03 +4.7135e-02 +2.5648e-02 +1.2462e-02 +6.2923e-04 +2.5433e-02 +7.2875e-02 +1.5312e-02 +1.7351e-02 +1.0561e-02 +7.1739e-05 +5.1866e-02 +2.6487e-02 +1.6994e-03 +6.7238e-03 +1.0397e-03 +1.1146e-01 +5.8772e-02 +1.2566e-01 +6.9432e-02 +3.6647e-03 +9.7695e-02 +3.5109e-02 +6.7525e-02 +4.3221e-03 +3.3953e-02 +4.4676e-02 +7.2241e-02 +3.3203e-02 +6.0723e-02
+6.0225e+00 +7.6185e-02 +7.1740e-02 +2.1742e-02 +1.1123e-01 +2.7134e-02 +6.9318e-02 +2.6254e-02 +1.4761e-01 +8.6345e-02 +7.3556e-02 +1.0205e-02 +1.6276e-04 +2.6364e-02 +9.7560e-02 +2.6956e-02 +1.4101e-01 +3.3933e-02 +2.5402e-02 +1.6106e-01 +5.2621e-03 +2.0848e-02 +3.8929e-02 +3.2961e-02 +7.7292e-02 +2.3485e-02 +6.9453e-02 +1.2417e-01 +7.2742e-03 +3.9898e-03 +3.6497e-02 +1.2007e-02 +2.5471e-02 +2.9980e-02 +3.8588e-03 +5.5130e-03 +5.3586e-02 +6.6844e-02 +6.0525e-03 +5.0080e-03 +7.2292e-03 +6.5982e-03 +6.3553e-02 +3.0425e-02 +1.7514e-02 +1.2477e-02 +1.9578e-04 +1.3069e-01 +5.5446e-02 +1.4047e-01 +5.3616e-02 +9.2096e-03 +1.0396e-01 +3.9936e-02 +5.4330e-02 +2.3493e-03 +5.9053e-02 +6.4393e-02 +8.4515e-02 +3.1807e-02 +5.7223e-02
+8.0300e+00 +8.1867e-02 +6.7097e-02 +2.7514e-02 +9.6381e-02 +3.2967e-02 +5.2937e-02 +3.3211e-02 +1.5886e-01 +1.1178e-01 +8.5536e-02 +1.6531e-02 +8.0671e-03 +3.0020e-02 +8.8349e-02 +3.3064e-02 +1.3431e-01 +6.5810e-02 +4.3122e-03 +1.8273e-01 +9.6312e-03 +2.9178e-02 +5.2483e-02 +3.8821e-02 +8.9503e-02 +3.1502e-02 +7.2037e-02 +1.3923e-01 +1.1568e-04 +2.1133e-02 +4.4056e-02 +1.8752e-02 +2.6675e-02 +3.7360e-02 +2.7117e-03 +1.4614e-02 +5.8901e-02 +7.2905e-02 +4.9144e-04 +4.0200e-02 +5.3412e-03 +1.4114e-02 +6.6096e-02 +3.7071e-02 +3.0856e-02 +2.3700e-02 +3.4483e-03 +1.5336e-01 +6.0554e-02 +1.5205e-01 +5.5637e-02 +1.3583e-02 +9.9143e-02 +4.4969e-02 +4.5512e-02 +7.9337e-03 +7.3893e-02 +1.1132e-01 +8.4104e-02 +5.2076e-02 +7.0228e-02
