dt DV_y_m08_100_m00 DV_z_m08_100_m00 DV_y_m08_090_m00 DV_z_m08_090_m00 DV_y_m08_080_m00 DV_z_m08_080_m00 DV_y_m08_070_m00 DV_z_m08_070_m00 DV_y_m08_060_m00 DV_z_m08_060_m00 DV_y_m08_050_m00 DV_z_m08_050_m00 DV_y_m08_040_m00 DV_z_m08_040_m00 DV_y_m07_100_m00 DV_z_m07_100_m00 DV_y_m07_090_m00 DV_z_m07_090_m00 DV_y_m07_080_m00 DV_z_m07_080_m00 DV_y_m07_070_m00 DV_z_m07_070_m00 DV_y_m07_060_m00 DV_z_m07_060_m00 DV_y_m07_050_m00 DV_z_m07_050_m00 DV_y_m07_040_m00 DV_z_m07_040_m00 DV_y_m06_100_m00 DV_z_m06_100_m00 DV_y_m06_090_m00 DV_z_m06_090_m00 DV_y_m06_080_m00 DV_z_m06_080_m00 DV_y_m06_070_m00 DV_z_m06_070_m00 DV_y_m06_060_m00 DV_z_m06_060_m00 DV_y_m06_050_m00 DV_z_m06_050_m00 DV_y_m06_040_m00 DV_z_m06_040_m00 DV_y_m05_100_m00 DV_z_m05_100_m00 DV_y_m05_090_m00 DV_z_m05_090_m00 DV_y_m05_080_m00 DV_z_m05_080_m00 DV_y_m05_070_m00 DV_z_m05_070_m00 DV_y_m05_060_m00 DV_z_m05_060_m00 DV_y_m05_050_m00 DV_z_m05_050_m00 DV_y_m05_040_m00 DV_z_m05_040_m00 DV_y_m04_100_m00 DV_z_m04_100_m00 DV_y_m04_090_m00 DV_z_m04_090_m00 DV_y_m04_080_m00 DV_z_m04_080_m00 DV_y_m04_070_m00 DV_z_m04_070_m00 DV_y_m04_060_m00 DV_z_m04_060_m00 DV_y_m04_050_m00 DV_z_m04_050_m00 DV_y_m04_040_m00 DV_z_m04_040_m00 DV_y_m03_100_m00 DV_z_m03_100_m00 DV_y_m03_090_m00 DV_z_m03_090_m00 DV_y_m03_080_m00 DV_z_m03_080_m00 DV_y_m03_070_m00 DV_z_m03_070_m00 DV_y_m03_060_m00 DV_z_m03_060_m00 DV_y_m03_050_m00 DV_z_m03_050_m00 DV_y_m03_040_m00 DV_z_m03_040_m00
-5.8218e+01 +4.6546e-03 +6.1604e-03 +1.7829e-02 +5.9215e-02 +5.7106e-03 +6.8603e-02 +1.7363e-03 +4.4809e-02 +1.0056e-04 +9.1437e-02 +5.6785e-04 +4.8458e-02 +1.3655e-02 +3.3891e-02 +3.5607e-03 +4.8475e-02 +1.0744e-02 +1.3975e-03 +1.1475e-02 +2.6459e-02 +1.5370e-03 +1.3645e-02 +1.8298e-03 +4.2866e-02 +9.3817e-04 +2.3179e-02 +1.0515e-03 +1.9517e-02 +7.8482e-03 +3.9073e-02 +2.8679e-04 +2.3862e-02 +1.9969e-03 +9.9004e-04 +4.3099e-03 +1.9008e-02 +2.4222e-03 +4.5441e-03 +4.4153e-05 +1.0365e-02 +5.3549e-03 +2.3430e-02 +6.4150e-03 +2.3852e-02 +5.2954e-03 +4.3437e-04 +6.4481e-03 +2.2171e-02 +2.8966e-03 +2.0654e-02 +1.7280e-03 +2.8984e-02 +2.3956e-03 +1.3199e-02 +5.7964e-03 +4.5191e-02 +1.4708e-02 +1.9624e-02 +2.7439e-02 +1.5915e-02 +5.8575e-03 +1.6649e-02 +4.4323e-03 +5.8299e-03 +1.5713e-02 +4.9083e-04 +8.4192e-03 +1.0364e-02 +1.5277e-02 +5.0683e-02 +2.3493e-02 +3.6391e-02 +1.3694e-02 +3.8038e-02 +2.0348e-02 +3.2032e-02 +1.6199e-03 +3.5703e-02 +6.2761e-03 +7.2514e-02 +6.1395e-04 +1.1102e-02 +3.1548e-03 +1.0582e-02
-5.6210e+01 +3.3702e-03 +9.4564e-03 +2.2925e-02 +4.1118e-02 +5.3083e-03 +7.4302e-02 +1.3344e-03 +6.5099e-02 +3.6501e-04 +6.9220e-02 +2.7333e-03 +5.7062e-02 +1.4357e-02 +3.0421e-02 +1.0131e-03 +5.5343e-02 +1.1225e-02 +1.0834e-02 +1.3243e-02 +2.5432e-02 +2.7828e-03 +2.1112e-02 +1.8281e-03 +3.5422e-02 +1.2472e-03 +2.1256e-02 +1.5162e-03 +2.0104e-02 +7.9696e-03 +4.4385e-02 +3.3198e-04 +1.1300e-02 +2.5392e-03 +9.8375e-03 +3.5058e-03 +1.6208e-02 +2.7815e-04 +1.5875e-02 +2.1691e-03 +2.2878e-04 +6.7869e-03 +2.2825e-02 +8.4408e-03 +2.7264e-02 +7.4142e-03 +4.4979e-04 +7.9024e-03 +1.1610e-02 +3.4637e-03 +1.5363e-02 +1.0844e-03 +3.5242e-02 +2.6624e-03 +1.0303e-02 +6.2163e-03 +4.4406e-02 +1.3357e-02 +1.7200e-02 +2.6138e-02 +1.9350e-02 +8.1698e-03 +1.2081e-02 +4.7654e-03 +6.4707e-04 +1.2328e-02 +2.5452e-02 +8.1610e-03 +1.4154e-02 +1.4448e-02 +4.7955e-02 +2.5183e-02 +5.4479e-02 +1.3766e-02 +3.0835e-02 +2.9249e-02 +3.6897e-02 +1.0172e-03 +6.1051e-02 +7.4526e-03 +6.4254e-02 +2.3398e-03 +1.9530e-02 +5.1475e-03 +2.6859e-02
-5.4202e+01 +3.9780e-03 +6.1861e-03 +2.6343e-02 +4.1258e-02 +1.8212e-03 +8.6035e-02 +1.3043e-04 +8.1368e-02 +2.8203e-03 +6.6959e-02 +5.2735e-03 +3.6517e-02 +1.6797e-02 +4.3668e-02 +1.3303e-03 +6.0898e-02 +1.2010e-02 +1.2180e-02 +8.4433e-03 +3.1362e-02 +2.7794e-03 +1.2402e-02 +3.3024e-03 +2.4792e-02 +1.6099e-03 +3.1889e-02 +2.9848e-03 +1.0583e-02 +6.7646e-03 +4.6630e-02 +1.7622e-03 +8.3461e-03 +7.2764e-04 +6.3152e-03 +3.3594e-03 +8.1047e-03 +2.8722e-04 +2.4206e-02 +1.2396e-03 +4.9978e-03 +9.4979e-03 +1.3774e-02 +8.3161e-03 +1.2535e-02 +7.7241e-03 +7.6425e-03 +7.9204e-03 +1.8413e-02 +3.8089e-03 +7.0844e-03 +2.5989e-04 +3.8796e-02 +3.7098e-03 +8.5916e-03 +6.6519e-03 +4.3860e-02 +1.8166e-02 +1.8789e-02 +3.5212e-02 +1.5592e-02 +8.0615e-03 +5.8699e-03 +2.7205e-03 +1.5263e-02 +1.1450e-02 +2.6254e-02 +8.1211e-03 +1.4015e-02 +1.5759e-02 +4.3373e-02 +3.0365e-02 +4.6637e-02 +9.8936e-03 +3.4642e-02 +3.1042e-02 +4.6775e-02 +8.7113e-04 +6.7038e-02 +1.0688e-02 +5.5377e-02 +7.6286e-04 +1.5433e-02 +7.1627e-03 +1.9907e-02
-5.2195e+01 +7.0891e-03 +2.2884e-02 +2.9968e-02 +2.2216e-02 +4.5434e-03 +9.6887e-02 +1.7613e-03 +9.2046e-02 +4.7586e-03 +6.8359e-02 +7.2804e-03 +4.0538e-02 +1.8152e-02 +5.2899e-02 +2.6359e-03 +5.9507e-02 +1.0581e-02 +9.4585e-03 +9.1050e-03 +3.4141e-02 +2.3073e-03 +4.9305e-03 +2.7232e-03 +2.6019e-02 +2.2986e-03 +4.7736e-02 +2.8195e-03 +6.0138e-03 +5.6384e-03 +5.3916e-02 +3.5289e-03 +4.5216e-03 +5.5063e-04 +8.8726e-03 +2.2028e-03 +2.3427e-02 +9.3896e-05 +2.2609e-02 +2.7139e-03 +7.3082e-04 +1.0676e-02 +1.5436e-02 +7.6645e-03 +9.1905e-03 +7.4512e-03 +1.2549e-02 +7.7090e-03 +1.1007e-02 +4.0054e-03 +1.3056e-02 +3.4140e-03 +4.6266e-02 +3.1317e-03 +9.1555e-04 +7.6155e-03 +5.1470e-02 +1.9788e-02 +4.2551e-02 +4.0899e-02 +2.8405e-02 +1.0842e-02 +8.4467e-03 +3.2138e-04 +1.0579e-02 +1.0461e-02 +3.4593e-02 +1.1902e-02 +6.0161e-03 +1.6683e-02 +2.9256e-02 +2.1781e-02 +3.1283e-02 +1.1233e-02 +3.0764e-02 +4.0983e-02 +1.6366e-02 +3.5384e-03 +6.4678e-02 +9.3782e-03 +7.3548e-02 +1.7698e-03 +1.7405e-02 +5.3556e-03 +1.1478e-02
-5.0188e+01 +8.2121e-03 +1.1055e-02 +3.0313e-02 +2.8497e-02 +5.2343e-03 +1.0687e-01 +3.9674e-03 +1.0812e-01 +5.9191e-03 +8.3464e-02 +7.7005e-03 +5.4649e-02 +1.6518e-02 +3.4024e-02 +3.1568e-03 +6.0241e-02 +1.2876e-02 +6.7225e-03 +1.0344e-02 +2.3994e-02 +2.2081e-03 +1.7648e-02 +9.4801e-04 +2.5080e-02 +3.3699e-03 +4.7217e-02 +1.3859e-03 +1.8359e-02 +5.9246e-03 +4.5203e-02 +1.7201e-03 +3.2457e-05 +1.6461e-03 +1.4874e-02 +9.2960e-04 +1.8924e-02 +1.8192e-03 +1.6816e-02 +4.3908e-03 +2.5454e-03 +1.3177e-02 +2.0878e-02 +8.3887e-03 +1.4920e-02 +1.0487e-02 +2.5989e-03 +6.7539e-03 +1.5589e-02 +4.7880e-03 +2.0358e-02 +5.2209e-03 +4.0137e-02 +3.3288e-03 +4.5124e-04 +5.9620e-03 +5.1730e-02 +2.3234e-02 +5.3497e-02 +4.0709e-02 +2.5890e-02 +1.4418e-02 +3.6363e-04 +7.0871e-04 +9.7538e-03 +8.2635e-03 +4.6472e-02 +1.2779e-02 +1.2462e-03 +1.6327e-02 +2.8957e-02 +1.9415e-02 +3.6801e-02 +1.9083e-02 +1.8781e-02 +4.2525e-02 +8.6438e-03 +3.8028e-03 +5.8755e-02 +8.8093e-03 +5.1672e-02 +1.3213e-03 +1.4340e-02 +3.9337e-03 +1.9190e-02
-4.8180e+01 +5.1704e-03 +1.5812e-03 +2.8454e-02 +1.8826e-02 +3.9213e-03 +8.2643e-02 +3.3394e-03 +9.5629e-02 +4.0970e-03 +8.8895e-02 +7.8864e-03 +4.9483e-02 +1.7822e-02 +4.1868e-02 +6.2591e-03 +5.7679e-02 +1.4194e-02 +5.4614e-03 +1.0068e-02 +1.7653e-02 +1.3224e-03 +2.1713e-02 +1.7664e-03 +2.9264e-02 +1.1653e-03 +4.2015e-02 +2.7796e-03 +2.5781e-02 +6.3345e-03 +4.8568e-02 +3.2452e-03 +5.7491e-03 +3.2381e-03 +2.2783e-02 +1.8012e-03 +3.6468e-02 +3.6414e-03 +1.3963e-02 +4.5979e-03 +9.6907e-03 +1.4670e-02 +1.6439e-02 +8.1373e-03 +1.5468e-02 +1.1478e-02 +4.8110e-03 +7.3341e-03 +1.5279e-02 +5.8523e-03 +5.4822e-03 +6.2243e-03 +4.6890e-02 +2.8587e-03 +1.6502e-02 +6.4539e-03 +4.8447e-02 +2.9465e-02 +5.5327e-02 +4.0773e-02 +2.0634e-02 +1.7411e-02 +2.2114e-03 +2.7987e-04 +2.8872e-02 +5.1357e-03 +4.8369e-02 +1.5361e-02 +9.7600e-03 +1.1884e-02 +1.6055e-02 +3.0525e-02 +3.6121e-02 +1.3730e-02 +2.0277e-02 +5.1479e-02 +4.2872e-03 +6.1956e-03 +5.8038e-02 +5.7261e-03 +6.1720e-02 +7.4245e-04 +4.7037e-03 +1.1926e-03 +2.2990e-02
-4.6173e+01 +1.5688e-06 +1.5231e-02 +2.9406e-02 +1.0155e-02 +3.4689e-03 +8.4106e-02 +3.5301e-03 +6.3138e-02 +1.4596e-03 +9.5293e-02 +1.0592e-02 +2.6560e-02 +1.7834e-02 +8.7420e-02 +6.3301e-03 +5.1047e-02 +1.5306e-02 +5.4415e-03 +8.3876e-03 +1.7529e-02 +3.5130e-04 +2.2535e-02 +3.8895e-03 +3.3076e-02 +6.3085e-04 +3.1257e-02 +7.8136e-05 +1.9104e-02 +9.0839e-03 +3.5446e-02 +6.1664e-04 +1.0796e-02 +2.8748e-03 +2.1953e-02 +3.0460e-04 +3.6945e-02 +4.7778e-03 +1.9627e-02 +5.4140e-03 +3.7214e-03 +1.3640e-02 +7.8633e-03 +9.0008e-03 +2.1206e-03 +1.3655e-02 +2.0127e-02 +9.3506e-03 +5.7668e-03 +5.4752e-03 +3.3434e-03 +4.4744e-03 +4.7279e-02 +3.9117e-03 +5.9678e-03 +6.1035e-03 +4.8174e-02 +4.0174e-02 +6.0448e-02 +4.0438e-02 +1.7574e-02 +1.9902e-02 +1.0297e-02 +2.3583e-03 +4.3118e-02 +4.5137e-03 +4.2010e-02 +1.9652e-02 +2.3962e-02 +1.0666e-02 +3.0639e-02 +3.2269e-02 +3.5722e-02 +1.6135e-02 +1.1382e-02 +4.5642e-02 +1.8317e-03 +1.1300e-02 +7.9792e-02 +6.7744e-03 +6.2560e-02 +2.7152e-03 +1.1562e-02 +4.9645e-03 +1.9855e-02
-4.4165e+01 +1.7865e-03 +3.8285e-02 +2.8097e-02 +2.5398e-02 +3.3821e-03 +9.3349e-02 +4.8658e-03 +5.5385e-02 +1.9026e-03 +1.1268e-01 +1.1675e-02 +4.3661e-02 +1.9669e-02 +9.0879e-02 +1.2814e-02 +5.9255e-02 +1.7131e-02 +7.0949e-03 +7.5994e-03 +1.5057e-02 +5.6419e-04 +2.1105e-02 +4.1146e-03 +3.1909e-02 +6.8002e-04 +3.6059e-02 +4.6433e-04 +2.9468e-02 +1.0484e-02 +4.2214e-02 +9.6451e-04 +9.8209e-03 +3.4574e-03 +3.3469e-02 +8.8889e-04 +4.7861e-02 +4.4086e-03 +2.5280e-02 +5.6188e-03 +3.3199e-03 +1.4654e-02 +1.2957e-02 +9.9867e-03 +4.6179e-03 +1.1334e-02 +2.6453e-02 +1.0331e-02 +5.6454e-03 +3.9034e-03 +2.9609e-03 +3.3431e-03 +3.6170e-02 +3.7206e-03 +2.1799e-03 +5.8610e-03 +3.8978e-02 +4.2578e-02 +6.2760e-02 +3.8388e-02 +2.8611e-02 +1.9074e-02 +1.8429e-02 +5.6154e-03 +5.2127e-02 +1.6141e-03 +4.2307e-02 +1.9715e-02 +2.3704e-02 +1.0948e-02 +3.9968e-02 +4.4073e-02 +5.4633e-02 +2.0763e-02 +1.3458e-02 +4.4347e-02 +1.3913e-02 +1.0900e-02 +8.8754e-02 +4.9634e-03 +7.3354e-02 +4.4779e-03 +9.8467e-03 +1.6448e-02 +4.1682e-03
-4.2157e+01 +3.2276e-03 +6.5111e-02 +2.9148e-02 +3.2703e-02 +2.2783e-03 +8.6197e-02 +5.1361e-03 +7.0162e-02 +1.9006e-03 +1.0210e-01 +9.8679e-03 +6.0005e-02 +1.8727e-02 +8.7886e-02 +1.2526e-02 +6.0418e-02 +1.6411e-02 +1.0579e-02 +7.7910e-03 +1.5574e-02 +2.1986e-03 +1.4027e-02 +6.0533e-03 +2.0688e-02 +7.7803e-04 +2.2190e-02 +4.8086e-04 +3.1147e-02 +1.3249e-02 +5.8853e-02 +5.8002e-03 +1.6664e-02 +1.0693e-03 +2.9912e-02 +7.9946e-04 +4.9679e-02 +2.9981e-03 +2.8737e-02 +6.5814e-03 +1.2065e-02 +1.3048e-02 +2.6558e-02 +1.1021e-02 +1.0692e-02 +1.4157e-02 +1.4025e-02 +9.6430e-03 +9.5218e-03 +3.8078e-03 +3.0370e-03 +2.0294e-03 +4.2400e-02 +5.0601e-03 +5.5883e-03 +5.9325e-03 +4.7611e-02 +4.3854e-02 +7.2246e-02 +3.1759e-02 +3.0921e-02 +1.6861e-02 +3.0881e-02 +8.3621e-03 +6.3243e-02 +3.7063e-03 +4.4855e-02 +1.9024e-02 +1.9825e-02 +1.0974e-02 +5.1079e-02 +4.5284e-02 +7.9266e-02 +3.2808e-02 +3.4676e-02 +3.7771e-02 +4.3192e-02 +1.4740e-02 +1.1367e-01 +2.9826e-03 +7.0984e-02 +4.0409e-03 +2.7371e-02 +1.7674e-02 +8.1279e-03
-4.0150e+01 +7.0343e-04 +7.1290e-02 +2.8451e-02 +3.2932e-02 +2.6893e-03 +9.9974e-02 +5.4984e-03 +8.8236e-02 +3.1264e-03 +1.0878e-01 +7.0621e-03 +4.8534e-02 +2.0904e-02 +9.8419e-02 +1.5128e-02 +6.0169e-02 +1.3337e-02 +9.2089e-03 +6.9813e-03 +1.2720e-02 +2.3110e-03 +9.3850e-03 +5.6607e-03 +2.2344e-02 +6.3162e-04 +1.2465e-02 +1.7116e-03 +3.3684e-02 +1.4543e-02 +7.2231e-02 +6.6481e-03 +2.1831e-02 +1.5599e-03 +3.4892e-02 +3.0166e-04 +5.3687e-02 +1.0811e-03 +1.8380e-02 +4.9985e-03 +2.8372e-03 +1.4356e-02 +1.6839e-02 +1.1202e-02 +1.1338e-02 +1.4070e-02 +7.9437e-03 +1.1704e-02 +1.3562e-02 +3.0594e-03 +5.0494e-03 +1.9181e-03 +4.0676e-02 +2.9762e-03 +9.6044e-03 +7.1783e-03 +3.0270e-02 +4.4737e-02 +4.4669e-02 +3.4576e-02 +1.9782e-02 +1.9394e-02 +4.4593e-02 +8.4795e-03 +4.8862e-02 +5.4955e-03 +5.7567e-02 +1.8587e-02 +3.0952e-02 +1.1020e-02 +5.2147e-02 +3.7380e-02 +8.9180e-02 +3.1180e-02 +3.0182e-02 +3.5111e-02 +4.3952e-02 +1.2036e-02 +1.1591e-01 +3.2355e-03 +5.0254e-02 +6.0110e-03 +3.0562e-02 +1.7435e-02 +5.6516e-03
-3.8142e+01 +3.3518e-03 +6.4213e-02 +2.1514e-02 +3.2327e-02 +1.1271e-03 +9.3356e-02 +6.4893e-03 +9.1018e-02 +5.9058e-03 +1.2216e-01 +7.5952e-03 +4.3317e-02 +2.1176e-02 +9.2531e-02 +1.6152e-02 +8.0266e-02 +1.0686e-02 +1.1018e-02 +7.3869e-03 +2.5431e-02 +4.0834e-03 +1.5963e-02 +4.1514e-03 +2.7348e-02 +2.2857e-03 +2.7683e-02 +2.5588e-03 +1.1704e-02 +1.7083e-02 +6.0596e-02 +8.6666e-03 +1.7712e-02 +1.2076e-03 +3.1455e-02 +1.9601e-03 +5.0025e-02 +5.0595e-04 +2.7459e-02 +2.6799e-03 +3.2801e-04 +1.3293e-02 +2.0450e-02 +1.2402e-02 +2.2361e-02 +1.3078e-02 +9.4662e-03 +1.1967e-02 +3.6425e-02 +1.8839e-03 +4.0366e-03 +3.4116e-04 +3.0977e-02 +5.0656e-03 +3.3953e-03 +7.3413e-03 +1.1512e-02 +4.8275e-02 +1.0257e-02 +2.8822e-02 +2.4578e-03 +1.7823e-02 +4.5099e-02 +9.8616e-03 +4.9799e-02 +8.9036e-03 +4.0999e-02 +2.0341e-02 +7.7367e-03 +1.0782e-02 +6.1621e-02 +3.6326e-02 +8.2369e-02 +2.3762e-02 +2.0229e-02 +3.4909e-02 +4.2149e-02 +9.7756e-03 +1.0939e-01 +3.1417e-03 +4.5494e-02 +6.1938e-03 +4.8650e-02 +1.7022e-02 +1.4372e-02
-3.6135e+01 +3.8038e-05 +3.2077e-02 +2.0559e-02 +4.3588e-02 +2.8869e-03 +1.0232e-01 +5.3029e-03 +7.5484e-02 +1.8124e-03 +1.0352e-01 +7.6578e-03 +4.3165e-02 +2.4386e-02 +9.9890e-02 +1.8280e-02 +6.3087e-02 +6.3269e-03 +1.8860e-02 +1.3053e-02 +3.8816e-02 +5.0536e-03 +1.8472e-02 +6.8512e-03 +2.9136e-02 +3.2818e-03 +3.9101e-02 +3.2474e-03 +1.1847e-02 +1.9358e-02 +6.9877e-02 +7.1094e-03 +6.7900e-03 +6.1563e-04 +1.9423e-02 +6.5378e-04 +4.4877e-02 +6.3994e-04 +2.4380e-02 +1.6105e-03 +5.3072e-03 +1.2310e-02 +2.9299e-02 +1.5110e-02 +1.8750e-02 +1.6235e-02 +6.8929e-03 +1.2435e-02 +2.6988e-02 +3.0980e-03 +1.5694e-02 +2.2159e-03 +3.8346e-02 +5.7945e-03 +2.2720e-03 +1.0521e-02 +2.9817e-02 +4.2814e-02 +7.5532e-03 +2.5837e-02 +2.3470e-02 +1.6745e-02 +4.2678e-02 +1.1280e-02 +5.5651e-02 +1.1207e-02 +3.9633e-02 +2.0824e-02 +2.6111e-02 +1.0004e-02 +4.0275e-02 +3.8632e-02 +6.3216e-02 +1.8203e-02 +2.6891e-02 +3.5394e-02 +4.6846e-02 +3.8173e-03 +1.1551e-01 +2.1867e-03 +5.0585e-02 +4.5241e-03 +3.6555e-02 +1.0429e-02 +1.4726e-02
-3.4128e+01 +2.6289e-04 +1.3960e-02 +2.0725e-02 +8.2226e-02 +2.8021e-03 +1.0601e-01 +5.8016e-03 +6.7687e-02 +1.3370e-03 +1.1959e-01 +7.5464e-03 +3.5127e-02 +2.3776e-02 +9.2655e-02 +2.0152e-02 +6.0501e-02 +8.1283e-03 +2.5329e-02 +1.2651e-02 +2.7656e-02 +6.5785e-03 +1.2206e-02 +8.9235e-03 +2.3511e-02 +1.0444e-03 +3.9831e-02 +2.7902e-03 +1.9085e-03 +2.2712e-02 +6.8588e-02 +1.0159e-02 +1.0275e-02 +2.2931e-03 +1.7438e-02 +1.2442e-04 +4.1749e-02 +8.2246e-04 +2.2502e-02 +9.4454e-04 +1.3173e-02 +1.3312e-02 +1.7003e-02 +1.5297e-02 +1.0889e-02 +1.1446e-02 +7.7512e-04 +1.1765e-02 +2.9857e-02 +3.1483e-03 +2.2546e-02 +1.4768e-03 +3.7426e-02 +6.4862e-03 +2.3745e-03 +1.0878e-02 +3.2468e-02 +3.6896e-02 +1.9187e-03 +2.1374e-02 +6.2807e-03 +1.6457e-02 +4.8635e-02 +1.0787e-02 +3.7881e-02 +8.2606e-03 +3.6520e-02 +1.6098e-02 +2.4382e-02 +1.2492e-02 +2.5754e-02 +3.8915e-02 +6.2724e-02 +1.1386e-02 +3.3292e-02 +3.8880e-02 +4.2130e-02 +1.6126e-03 +8.5067e-02 +9.7938e-04 +8.8210e-02 +4.5167e-04 +3.8887e-02 +9.3756e-03 +2.2953e-02
-3.2120e+01 +3.9271e-03 +2.3399e-02 +1.6917e-02 +8.1674e-02 +2.1614e-03 +9.5254e-02 +3.9697e-03 +4.8418e-02 +3.8411e-03 +1.3591e-01 +9.2145e-03 +6.5346e-02 +2.4705e-02 +7.5696e-02 +1.9544e-02 +4.4369e-02 +5.9640e-03 +3.1720e-03 +1.6372e-02 +1.0444e-02 +7.1729e-03 +9.6380e-04 +9.2313e-03 +3.2553e-02 +8.6416e-04 +2.9183e-02 +2.0333e-03 +9.9282e-03 +2.2747e-02 +6.7643e-02 +1.2978e-02 +1.8881e-03 +2.8877e-03 +1.8472e-02 +6.6711e-04 +4.1859e-02 +2.0309e-03 +3.8636e-02 +8.8616e-04 +1.6479e-02 +1.4275e-02 +1.5231e-02 +1.1841e-02 +1.0874e-02 +1.1032e-02 +3.1722e-03 +1.0937e-02 +2.3031e-02 +3.9048e-03 +3.2755e-02 +3.2931e-03 +2.9046e-02 +9.1975e-03 +3.3535e-03 +1.2036e-02 +3.5792e-02 +3.6555e-02 +4.8501e-03 +1.2798e-02 +9.6437e-04 +1.6365e-02 +4.7748e-02 +1.0648e-02 +3.3531e-02 +8.0158e-03 +3.7799e-02 +1.5245e-02 +2.0729e-02 +1.4506e-02 +3.0847e-02 +4.0343e-02 +6.7070e-02 +3.7937e-03 +2.4139e-02 +3.7117e-02 +4.5815e-02 +6.1898e-03 +1.0097e-01 +2.8426e-03 +9.6049e-02 +4.6048e-03 +1.1527e-02 +1.3482e-02 +3.2288e-02
-3.0112e+01 +7.2532e-04 +9.0056e-03 +1.8436e-02 +8.7814e-02 +1.2572e-03 +1.0454e-01 +3.4024e-04 +1.8821e-02 +4.8677e-03 +1.5479e-01 +6.4083e-03 +5.4541e-02 +2.7952e-02 +9.9522e-02 +2.1233e-02 +5.0818e-02 +6.4244e-03 +8.7271e-04 +1.8521e-02 +1.4050e-02 +7.3152e-03 +1.9377e-03 +1.0692e-02 +4.1961e-02 +1.1270e-03 +3.1539e-02 +1.5618e-03 +9.8370e-03 +2.0987e-02 +6.3370e-02 +1.1047e-02 +5.5109e-03 +3.9675e-03 +1.9066e-03 +5.3627e-04 +5.5589e-02 +2.8348e-03 +4.5623e-02 +1.7244e-04 +1.1180e-02 +1.4639e-02 +2.1559e-03 +1.5137e-02 +1.7790e-02 +1.0478e-02 +4.2209e-03 +1.0633e-02 +2.2755e-02 +4.7137e-03 +3.4002e-02 +2.4734e-03 +3.4559e-02 +5.9620e-03 +6.0161e-03 +1.1361e-02 +3.8459e-02 +2.9482e-02 +5.3873e-03 +1.7274e-03 +1.3758e-02 +1.6341e-02 +4.3830e-02 +8.8666e-03 +2.4288e-02 +8.0503e-03 +3.9174e-02 +1.6154e-02 +3.9366e-03 +1.2540e-02 +4.7791e-02 +4.5526e-02 +8.3028e-02 +7.6375e-03 +4.3686e-02 +4.2464e-02 +3.1907e-02 +4.3790e-03 +1.0895e-01 +5.6254e-03 +9.3954e-02 +4.3565e-03 +1.0344e-02 +1.1888e-02 +4.0039e-02
-2.8105e+01 +7.8429e-03 +4.0930e-03 +1.9093e-02 +8.3542e-02 +4.5994e-03 +6.9831e-02 +9.7865e-04 +1.5651e-02 +1.7478e-03 +1.6054e-01 +7.6783e-03 +6.4556e-02 +2.7931e-02 +1.0420e-01 +2.0625e-02 +3.0568e-02 +5.2330e-03 +5.6522e-03 +1.6478e-02 +2.3255e-02 +7.1250e-03 +3.6501e-03 +1.3186e-02 +3.1226e-02 +5.7520e-04 +1.3884e-02 +9.8558e-05 +7.3538e-03 +2.4743e-02 +7.6721e-02 +1.0851e-02 +7.8501e-03 +6.0351e-03 +4.1062e-04 +5.8062e-04 +5.2243e-02 +3.4775e-03 +4.0527e-02 +8.7293e-04 +5.0830e-03 +1.3783e-02 +9.0047e-03 +1.9450e-02 +3.4135e-02 +9.7831e-03 +8.5190e-04 +1.0155e-02 +4.1050e-02 +2.9768e-03 +2.7155e-02 +1.2057e-03 +2.9057e-02 +7.5815e-03 +2.2382e-02 +1.2961e-02 +2.8810e-02 +2.8497e-02 +1.7541e-02 +5.2312e-03 +1.8659e-02 +1.6898e-02 +4.2836e-02 +1.1275e-02 +2.8835e-02 +5.7009e-03 +4.5689e-02 +1.5130e-02 +1.7510e-02 +1.4230e-02 +4.3280e-02 +5.5552e-02 +1.2598e-01 +1.8427e-02 +4.8450e-02 +3.9739e-02 +4.1926e-02 +8.0435e-03 +1.1501e-01 +4.1148e-03 +9.3078e-02 +1.0498e-02 +1.0835e-02 +2.8200e-03 +2.0867e-02
