time duty_50 duty_70 duty_100
+1.6287e+00 +4.0000e+00 +2.9737e+00 +9.7371e-01
+1.6329e+00 +4.0000e+00 +2.8803e+00 +8.8034e-01
+1.6371e+00 +4.0000e+00 +2.7258e+00 +7.2577e-01
+1.6413e+00 +4.0000e+00 +2.5208e+00 +5.2075e-01
+1.6455e+00 +4.0000e+00 +2.2795e+00 +2.7954e-01
+1.6497e+00 +4.0000e+00 +2.0189e+00 +1.8886e-02
+1.6539e+00 +4.0000e+00 +1.7569e+00 -2.4308e-01
+1.6581e+00 +4.0000e+00 +1.5119e+00 -4.8814e-01
+1.6623e+00 +4.0000e+00 +1.3007e+00 -6.9927e-01
+1.6665e+00 +4.0000e+00 +1.1382e+00 -8.6180e-01
+1.6707e+00 +4.0000e+00 +1.0356e+00 -9.6442e-01
+1.6749e+00 +4.0000e+00 +1.0000e+00 -1.0000e+00
+1.6792e+00 +4.0000e+00 +1.0339e+00 -9.6606e-01
+1.6834e+00 +4.0000e+00 +1.1350e+00 -8.6497e-01
+1.6876e+00 +4.0000e+00 +1.2962e+00 -7.0376e-01
+1.6918e+00 +4.0000e+00 +1.5064e+00 -4.9363e-01
+1.6960e+00 +4.0000e+00 +1.7508e+00 -2.4918e-01
+1.7002e+00 +4.0000e+00 +2.0000e+00 +1.2591e-02
+1.7044e+00 +4.0000e+00 +2.0000e+00 +2.7348e-01
+1.7086e+00 +4.0000e+00 +2.0000e+00 +5.1537e-01
+1.7128e+00 +4.0000e+00 +2.0000e+00 +7.2143e-01
+1.7170e+00 +4.0000e+00 +2.0000e+00 +8.7734e-01
+1.7212e+00 +4.0000e+00 +2.0000e+00 +9.7226e-01
+1.7255e+00 +4.0000e+00 +2.0000e+00 +9.9960e-01
+1.7297e+00 +4.0000e+00 +2.0000e+00 +9.5745e-01
+1.7339e+00 +4.0000e+00 +2.0000e+00 +8.4875e-01
+1.7381e+00 +4.0000e+00 +2.0000e+00 +6.8105e-01
+1.7423e+00 +4.0000e+00 +2.0000e+00 +4.6601e-01
+1.7465e+00 +4.0000e+00 +2.0000e+00 +2.1857e-01
+1.7507e+00 +4.0000e+00 +2.0000e+00 -4.4056e-02
+1.7549e+00 +4.0000e+00 +2.0000e+00 -3.0362e-01
+1.7591e+00 +4.0000e+00 +2.0000e+00 -5.4208e-01
+1.7633e+00 +4.0000e+00 +2.0000e+00 -7.4286e-01
+1.7675e+00 +4.0000e+00 +2.0000e+00 -8.9200e-01
+1.7717e+00 +4.0000e+00 +2.0000e+00 -9.7914e-01
+1.7760e+00 +4.0000e+00 +2.0000e+00 -9.9821e-01
+1.7802e+00 +4.0000e+00 +2.0000e+00 -9.4790e-01
+1.7844e+00 +4.0000e+00 +2.0000e+00 -8.3169e-01
+1.7886e+00 +4.0000e+00 +2.0000e+00 -6.5767e-01
+1.7928e+00 +4.0000e+00 +2.0000e+00 -4.3793e-01
+1.7970e+00 +4.0000e+00 +2.0000e+00 -1.8775e-01
+1.8012e+00 +4.0000e+00 +2.0000e+00 +7.5477e-02
+1.8054e+00 +4.0000e+00 +2.0000e+00 +3.3346e-01
+1.8096e+00 +4.0000e+00 +2.0000e+00 +5.6826e-01
+1.8138e+00 +4.0000e+00 +2.0000e+00 +7.6357e-01
+1.8180e+00 +4.0000e+00 +2.0000e+00 +9.0579e-01
+1.8222e+00 +4.0000e+00 +2.0000e+00 +9.8505e-01
+1.8265e+00 +4.0000e+00 +2.0000e+00 +9.9584e-01
+1.8307e+00 +4.0000e+00 +2.0000e+00 +9.3740e-01
+1.8349e+00 +4.0000e+00 +2.0000e+00 +8.1380e-01
+1.8391e+00 +4.0000e+00 +2.0000e+00 +6.3363e-01
+1.8433e+00 +4.0000e+00 +2.0000e+00 +4.0942e-01
+1.8475e+00 +4.0000e+00 +2.0000e+00 +1.5675e-01
+1.8517e+00 +4.0000e+00 +2.0000e+00 -1.0682e-01
+1.8559e+00 +4.0000e+00 +2.0000e+00 -3.6297e-01
+1.8601e+00 +4.0000e+00 +2.0000e+00 -5.9388e-01
+1.8643e+00 +4.0000e+00 +2.0000e+00 -7.8351e-01
+1.8685e+00 +4.0000e+00 +2.0000e+00 -9.1868e-01
+1.8727e+00 +4.0000e+00 +2.0000e+00 -9.8998e-01
+1.8770e+00 +4.0000e+00 +2.0000e+00 -9.9247e-01
+1.8812e+00 +4.0000e+00 +2.0000e+00 -9.2597e-01
+1.8854e+00 +4.0000e+00 +2.0000e+00 -7.9511e-01
+1.8896e+00 +4.0000e+00 +2.0000e+00 -6.0897e-01
+1.8938e+00 +4.0000e+00 +2.0000e+00 -3.8050e-01
+1.8980e+00 +4.0000e+00 +2.0000e+00 -1.2558e-01
+1.9022e+00 +4.0000e+00 +2.0000e+00 +1.3806e-01
+1.9064e+00 +4.0000e+00 +2.0000e+00 +3.9212e-01
+1.9106e+00 +4.0000e+00 +2.0000e+00 +6.1891e-01
+1.9148e+00 +4.0000e+00 +2.0000e+00 +8.0268e-01
+1.9190e+00 +4.0000e+00 +2.0000e+00 +9.3065e-01
+1.9232e+00 +4.0000e+00 +2.0000e+00 +9.9394e-01
+1.9275e+00 +4.0000e+00 +2.0000e+00 +9.8813e-01
+1.9317e+00 +4.0000e+00 +2.0000e+00 +9.1363e-01
+1.9359e+00 +4.0000e+00 +2.0000e+00 +7.7562e-01
+1.9401e+00 +4.0000e+00 +2.0000e+00 +5.8370e-01
+1.9443e+00 +4.0000e+00 +2.0000e+00 +3.5121e-01
+1.9485e+00 +4.0000e+00 +2.0000e+00 +9.4296e-02
+1.9527e+00 +4.0000e+00 +2.0000e+00 -1.6917e-01
+1.9569e+00 +4.0000e+00 +2.0000e+00 -4.2087e-01
+1.9611e+00 +4.0000e+00 +2.0000e+00 -6.4332e-01
+1.9653e+00 +4.0000e+00 +2.0000e+00 -8.2105e-01
+1.9695e+00 +4.0000e+00 +2.0000e+00 -9.4171e-01
+1.9737e+00 +4.0000e+00 +2.0000e+00 -9.9690e-01
+1.9780e+00 +4.0000e+00 +2.0000e+00 -9.8280e-01
+1.9822e+00 +4.0000e+00 +2.0000e+00 -9.0038e-01
+1.9864e+00 +4.0000e+00 +2.0000e+00 -7.5537e-01
+1.9906e+00 +4.0000e+00 +2.0000e+00 -5.5786e-01
+1.9948e+00 +4.0000e+00 +2.0000e+00 -3.2156e-01
+1.9990e+00 +4.0000e+00 +2.0000e+00 -6.2916e-02
+2.0032e+00 +4.2001e+00 +2.2001e+00 +2.0010e-01
+2.0074e+00 +4.4492e+00 +2.4492e+00 +4.4922e-01
+2.0116e+00 +4.6671e+00 +2.6671e+00 +6.6710e-01
+2.0158e+00 +4.8386e+00 +2.8386e+00 +8.3861e-01
+2.0200e+00 +4.9518e+00 +2.9518e+00 +9.5183e-01
+2.0242e+00 +4.9989e+00 +2.9989e+00 +9.9889e-01
+2.0285e+00 +4.9765e+00 +2.9765e+00 +9.7650e-01
+2.0327e+00 +4.8862e+00 +2.8862e+00 +8.8624e-01
+2.0369e+00 +4.7344e+00 +2.7344e+00 +7.3438e-01
+2.0411e+00 +4.5315e+00 +2.5315e+00 +5.3146e-01
+2.0453e+00 +4.2916e+00 +2.2916e+00 +2.9160e-01
+2.0495e+00 +4.0315e+00 +2.0315e+00 +3.1474e-02
+2.0537e+00 +3.7692e+00 +1.7692e+00 -2.3084e-01
+2.0579e+00 +3.5229e+00 +1.5229e+00 -4.7711e-01
+2.0621e+00 +3.3098e+00 +1.3098e+00 -6.9022e-01
+2.0663e+00 +3.1447e+00 +1.1447e+00 -8.5534e-01
+2.0705e+00 +3.0390e+00 +1.0390e+00 -9.6101e-01
+2.0747e+00 +3.0001e+00 +1.0001e+00 -9.9988e-01
+2.0790e+00 +3.0308e+00 +1.0308e+00 -9.6924e-01
+2.0832e+00 +3.1288e+00 +1.1288e+00 -8.7122e-01
+2.0874e+00 +3.2874e+00 +1.2874e+00 -7.1265e-01
+2.0916e+00 +3.4955e+00 +1.4955e+00 -5.0454e-01
+2.0958e+00 +3.7386e+00 +1.7386e+00 -2.6135e-01
+2.1000e+00 +4.0000e+00 +2.0000e+00 +5.0841e-15
