time duty_50 duty_70 duty_100
+3.7034e-01 +3.0425e+00 +1.0425e+00 -9.5745e-01
+3.7455e-01 +3.0004e+00 +1.0004e+00 -9.9960e-01
+3.7876e-01 +3.0277e+00 +1.0277e+00 -9.7226e-01
+3.8297e-01 +3.1227e+00 +1.1227e+00 -8.7734e-01
+3.8717e-01 +3.2786e+00 +1.2786e+00 -7.2143e-01
+3.9138e-01 +3.4846e+00 +1.4846e+00 -5.1537e-01
+3.9559e-01 +3.7265e+00 +1.7265e+00 -2.7348e-01
+3.9980e-01 +3.9874e+00 +1.9874e+00 -1.2591e-02
+4.0401e-01 +4.2492e+00 +2.2492e+00 +2.4918e-01
+4.0822e-01 +4.4936e+00 +2.4936e+00 +4.9363e-01
+4.1242e-01 +4.7038e+00 +2.7038e+00 +7.0376e-01
+4.1663e-01 +4.8650e+00 +2.8650e+00 +8.6497e-01
+4.2084e-01 +4.9661e+00 +2.9661e+00 +9.6606e-01
+4.2505e-01 +5.0000e+00 +3.0000e+00 +1.0000e+00
+4.2926e-01 +4.9644e+00 +2.9644e+00 +9.6442e-01
+4.3347e-01 +4.8618e+00 +2.8618e+00 +8.6180e-01
+4.3768e-01 +4.6993e+00 +2.6993e+00 +6.9927e-01
+4.4188e-01 +4.4881e+00 +2.4881e+00 +4.8814e-01
+4.4609e-01 +4.2431e+00 +2.2431e+00 +2.4308e-01
+4.5030e-01 +3.9811e+00 +1.9811e+00 -1.8886e-02
+4.5451e-01 +3.7205e+00 +1.7205e+00 -2.7954e-01
+4.5872e-01 +3.4792e+00 +1.4792e+00 -5.2075e-01
+4.6293e-01 +3.2742e+00 +1.2742e+00 -7.2577e-01
+4.6713e-01 +3.1197e+00 +1.1197e+00 -8.8034e-01
+4.7134e-01 +3.0263e+00 +1.0263e+00 -9.7371e-01
+4.7555e-01 +3.0006e+00 +1.0006e+00 -9.9940e-01
+4.7976e-01 +3.0444e+00 +1.0444e+00 -9.5562e-01
+4.8397e-01 +3.1546e+00 +1.1546e+00 -8.4541e-01
+4.8818e-01 +3.3236e+00 +1.3236e+00 -6.7643e-01
+4.9238e-01 +3.5396e+00 +1.5396e+00 -4.6043e-01
+4.9659e-01 +3.7876e+00 +1.7876e+00 -2.1243e-01
+5.0080e-01 +4.0000e+00 +2.0503e+00 +5.0345e-02
+5.0501e-01 +4.0000e+00 +2.3096e+00 +3.0962e-01
+5.0922e-01 +4.0000e+00 +2.5474e+00 +5.4736e-01
+5.1343e-01 +4.0000e+00 +2.7471e+00 +7.4706e-01
+5.1764e-01 +4.0000e+00 +2.8948e+00 +8.9483e-01
+5.2184e-01 +4.0000e+00 +2.9804e+00 +9.8040e-01
+5.2605e-01 +4.0000e+00 +2.9978e+00 +9.9782e-01
+5.3026e-01 +4.0000e+00 +2.9459e+00 +9.4587e-01
+5.3447e-01 +4.0000e+00 +2.8282e+00 +8.2818e-01
+5.3868e-01 +4.0000e+00 +2.6529e+00 +6.5291e-01
+5.4289e-01 +4.0000e+00 +2.4323e+00 +4.3226e-01
+5.4709e-01 +4.0000e+00 +2.1816e+00 +1.8156e-01
+5.5130e-01 +4.0000e+00 +1.9182e+00 -8.1754e-02
+5.5551e-01 +4.0000e+00 +1.6606e+00 -3.3939e-01
+5.5972e-01 +4.0000e+00 +1.4266e+00 -5.7343e-01
+5.6393e-01 +4.0000e+00 +1.2324e+00 -7.6762e-01
+5.6814e-01 +4.0000e+00 +1.0916e+00 -9.0844e-01
+5.7234e-01 +4.0000e+00 +1.0139e+00 -9.8611e-01
+5.7655e-01 +4.0000e+00 +1.0048e+00 -9.9524e-01
+5.8076e-01 +4.0000e+00 +1.0648e+00 -9.3519e-01
+5.8497e-01 +4.0000e+00 +1.1899e+00 -8.1013e-01
+5.8918e-01 +4.0000e+00 +1.3713e+00 -6.2875e-01
+5.9339e-01 +4.0000e+00 +1.5963e+00 -4.0367e-01
+5.9760e-01 +4.0000e+00 +1.8495e+00 -1.5052e-01
+6.0180e-01 +4.0000e+00 +2.1131e+00 +1.1308e-01
+6.0601e-01 +4.0000e+00 +2.3688e+00 +3.6883e-01
+6.1022e-01 +4.0000e+00 +2.5989e+00 +5.9893e-01
+6.1443e-01 +4.0000e+00 +2.7874e+00 +7.8741e-01
+6.1864e-01 +4.0000e+00 +2.9211e+00 +9.2115e-01
+6.2285e-01 +4.0000e+00 +2.9909e+00 +9.9085e-01
+6.2705e-01 +4.0000e+00 +2.9917e+00 +9.9168e-01
+6.3126e-01 +4.0000e+00 +2.9236e+00 +9.2358e-01
+6.3547e-01 +4.0000e+00 +2.7913e+00 +7.9127e-01
+6.3968e-01 +4.0000e+00 +2.6040e+00 +6.0396e-01
+6.4389e-01 +4.0000e+00 +2.3747e+00 +3.7467e-01
+6.4810e-01 +4.0000e+00 +2.1193e+00 +1.1933e-01
+6.5230e-01 +4.0000e+00 +1.8557e+00 -1.4430e-01
+6.5651e-01 +4.0000e+00 +1.6021e+00 -3.9790e-01
+6.6072e-01 +4.0000e+00 +1.3762e+00 -6.2384e-01
+6.6493e-01 +4.0000e+00 +1.1936e+00 -8.0642e-01
+6.6914e-01 +4.0000e+00 +1.0671e+00 -9.3294e-01
+6.7335e-01 +4.0000e+00 +1.0054e+00 -9.9461e-01
+6.7756e-01 +4.0000e+00 +1.0129e+00 -9.8714e-01
+6.8176e-01 +4.0000e+00 +1.0889e+00 -9.1105e-01
+6.8597e-01 +4.0000e+00 +1.2284e+00 -7.7164e-01
+6.9018e-01 +4.0000e+00 +1.4214e+00 -5.7858e-01
+6.9439e-01 +4.0000e+00 +1.6547e+00 -3.4530e-01
+6.9860e-01 +4.0000e+00 +1.9120e+00 -8.8027e-02
+7.0281e-01 +4.0000e+00 +2.0000e+00 +1.7537e-01
+7.0701e-01 +4.0000e+00 +2.0000e+00 +4.2658e-01
+7.1122e-01 +4.0000e+00 +2.0000e+00 +6.4813e-01
+7.1543e-01 +4.0000e+00 +2.0000e+00 +8.2463e-01
+7.1964e-01 +4.0000e+00 +2.0000e+00 +9.4381e-01
+7.2385e-01 +4.0000e+00 +2.0000e+00 +9.9738e-01
+7.2806e-01 +4.0000e+00 +2.0000e+00 +9.8162e-01
+7.3226e-01 +4.0000e+00 +2.0000e+00 +8.9763e-01
+7.3647e-01 +4.0000e+00 +2.0000e+00 +7.5123e-01
+7.4068e-01 +4.0000e+00 +2.0000e+00 +5.5262e-01
+7.4489e-01 +4.0000e+00 +2.0000e+00 +3.1560e-01
+7.4910e-01 +4.0000e+00 +2.0000e+00 +5.6632e-02
+7.5331e-01 +4.0000e+00 +2.0000e+00 -2.0627e-01
+7.5752e-01 +4.0000e+00 +2.0000e+00 -4.5483e-01
+7.6172e-01 +4.0000e+00 +2.0000e+00 -6.7178e-01
+7.6593e-01 +4.0000e+00 +2.0000e+00 -8.4203e-01
+7.7014e-01 +4.0000e+00 +2.0000e+00 -9.5374e-01
+7.7435e-01 +4.0000e+00 +2.0000e+00 -9.9916e-01
+7.7856e-01 +4.0000e+00 +2.0000e+00 -9.7513e-01
+7.8277e-01 +4.0000e+00 +2.0000e+00 -8.8331e-01
+7.8697e-01 +4.0000e+00 +2.0000e+00 -7.3009e-01
+7.9118e-01 +4.0000e+00 +2.0000e+00 -5.2612e-01
+7.9539e-01 +4.0000e+00 +2.0000e+00 -2.8557e-01
+7.9960e-01 +4.0000e+00 +2.0000e+00 -2.5180e-02
+8.0381e-01 +4.0000e+00 +2.0000e+00 +2.3696e-01
+8.0802e-01 +4.0000e+00 +2.0000e+00 +4.8264e-01
+8.1222e-01 +4.0000e+00 +2.0000e+00 +6.9476e-01
+8.1643e-01 +4.0000e+00 +2.0000e+00 +8.5859e-01
+8.2064e-01 +4.0000e+00 +2.0000e+00 +9.6273e-01
+8.2485e-01 +4.0000e+00 +2.0000e+00 +9.9996e-01
+8.2906e-01 +4.0000e+00 +2.0000e+00 +9.6767e-01
+8.3327e-01 +4.0000e+00 +2.0000e+00 +8.6812e-01
+8.3747e-01 +4.0000e+00 +2.0000e+00 +7.0822e-01
+8.4168e-01 +4.0000e+00 +2.0000e+00 +4.9909e-01
+8.4589e-01 +4.0000e+00 +2.0000e+00 +2.5527e-01
+8.5010e-01 +4.0000e+00 +2.0000e+00 -6.2957e-03
+8.5431e-01 +4.0000e+00 +2.0000e+00 -2.6742e-01
+8.5852e-01 +4.0000e+00 +2.0000e+00 -5.0996e-01
+8.6273e-01 +4.0000e+00 +2.0000e+00 -7.1705e-01
+8.6693e-01 +4.0000e+00 +2.0000e+00 -8.7430e-01
+8.7114e-01 +4.0000e+00 +2.0000e+00 -9.7077e-01
+8.7535e-01 +4.0000e+00 +2.0000e+00 -9.9976e-01
+8.7956e-01 +4.0000e+00 +2.0000e+00 -9.5925e-01
+8.8377e-01 +4.0000e+00 +2.0000e+00 -8.5206e-01
+8.8798e-01 +4.0000e+00 +2.0000e+00 -6.8565e-01
+8.9218e-01 +4.0000e+00 +2.0000e+00 -4.7157e-01
+8.9639e-01 +4.0000e+00 +2.0000e+00 -2.2471e-01
+9.0060e-01 +4.0000e+00 +2.0000e+00 +3.7766e-02
+9.0481e-01 +4.0000e+00 +2.0000e+00 +2.9762e-01
+9.0902e-01 +4.0000e+00 +2.0000e+00 +5.3678e-01
+9.1323e-01 +4.0000e+00 +2.0000e+00 +7.3863e-01
+9.1743e-01 +4.0000e+00 +2.0000e+00 +8.8914e-01
+9.2164e-01 +4.0000e+00 +2.0000e+00 +9.7784e-01
+9.2585e-01 +4.0000e+00 +2.0000e+00 +9.9857e-01
+9.3006e-01 +4.0000e+00 +2.0000e+00 +9.4988e-01
+9.3427e-01 +4.0000e+00 +2.0000e+00 +8.3517e-01
+9.3848e-01 +4.0000e+00 +2.0000e+00 +6.6240e-01
+9.4269e-01 +4.0000e+00 +2.0000e+00 +4.4358e-01
+9.4689e-01 +4.0000e+00 +2.0000e+00 +1.9393e-01
+9.5110e-01 +4.0000e+00 +2.0000e+00 -6.9198e-02
+9.5531e-01 +4.0000e+00 +2.0000e+00 -3.2752e-01
+9.5952e-01 +4.0000e+00 +2.0000e+00 -5.6307e-01
+9.6373e-01 +4.0000e+00 +2.0000e+00 -7.5949e-01
+9.6794e-01 +4.0000e+00 +2.0000e+00 -9.0310e-01
+9.7214e-01 +4.0000e+00 +2.0000e+00 -9.8395e-01
+9.7635e-01 +4.0000e+00 +2.0000e+00 -9.9639e-01
+9.8056e-01 +4.0000e+00 +2.0000e+00 -9.3957e-01
+9.8477e-01 +4.0000e+00 +2.0000e+00 -8.1744e-01
+9.8898e-01 +4.0000e+00 +2.0000e+00 -6.3849e-01
+9.9319e-01 +4.0000e+00 +2.0000e+00 -4.1515e-01
+9.9739e-01 +4.0000e+00 +2.0000e+00 -1.6296e-01
+1.0016e+00 +4.1006e+00 +2.1006e+00 +1.0056e-01
+1.0058e+00 +4.3571e+00 +2.3571e+00 +3.5709e-01
+1.0100e+00 +4.5888e+00 +2.5888e+00 +5.8880e-01
+1.0142e+00 +4.7796e+00 +2.7796e+00 +7.7958e-01
+1.0184e+00 +4.9162e+00 +2.9162e+00 +9.1617e-01
+1.0226e+00 +4.9891e+00 +2.9891e+00 +9.8908e-01
+1.0269e+00 +4.9932e+00 +2.9932e+00 +9.9322e-01
+1.0311e+00 +4.9283e+00 +2.9283e+00 +9.2833e-01
+1.0353e+00 +4.7989e+00 +2.7989e+00 +7.9891e-01
+1.0395e+00 +4.6140e+00 +2.6140e+00 +6.1395e-01
+1.0437e+00 +4.3863e+00 +2.3863e+00 +3.8632e-01
+1.0479e+00 +4.1318e+00 +2.1318e+00 +1.3183e-01
+1.0521e+00 +3.8682e+00 +1.8682e+00 -1.3183e-01
+1.0563e+00 +3.6137e+00 +1.6137e+00 -3.8632e-01
+1.0605e+00 +3.3860e+00 +1.3860e+00 -6.1395e-01
+1.0647e+00 +3.2011e+00 +1.2011e+00 -7.9891e-01
+1.0689e+00 +3.0717e+00 +1.0717e+00 -9.2833e-01
+1.0731e+00 +3.0068e+00 +1.0068e+00 -9.9322e-01
+1.0774e+00 +3.0109e+00 +1.0109e+00 -9.8908e-01
+1.0816e+00 +3.0838e+00 +1.0838e+00 -9.1617e-01
+1.0858e+00 +3.2204e+00 +1.2204e+00 -7.7958e-01
+1.0900e+00 +3.4112e+00 +1.4112e+00 -5.8880e-01
+1.0942e+00 +3.6429e+00 +1.6429e+00 -3.5709e-01
+1.0984e+00 +3.8994e+00 +1.8994e+00 -1.0056e-01
+1.1026e+00 +4.1630e+00 +2.1630e+00 +1.6296e-01
+1.1068e+00 +4.4152e+00 +2.4152e+00 +4.1515e-01
+1.1110e+00 +4.6385e+00 +2.6385e+00 +6.3849e-01
+1.1152e+00 +4.8174e+00 +2.8174e+00 +8.1744e-01
+1.1194e+00 +4.9396e+00 +2.9396e+00 +9.3957e-01
+1.1236e+00 +4.9964e+00 +2.9964e+00 +9.9639e-01
+1.1279e+00 +4.9839e+00 +2.9839e+00 +9.8395e-01
+1.1321e+00 +4.9031e+00 +2.9031e+00 +9.0310e-01
+1.1363e+00 +4.7595e+00 +2.7595e+00 +7.5949e-01
+1.1405e+00 +4.5631e+00 +2.5631e+00 +5.6307e-01
+1.1447e+00 +4.3275e+00 +2.3275e+00 +3.2752e-01
+1.1489e+00 +4.0692e+00 +2.0692e+00 +6.9198e-02
+1.1531e+00 +3.8061e+00 +1.8061e+00 -1.9393e-01
+1.1573e+00 +3.5564e+00 +1.5564e+00 -4.4358e-01
+1.1615e+00 +3.3376e+00 +1.3376e+00 -6.6240e-01
+1.1657e+00 +3.1648e+00 +1.1648e+00 -8.3517e-01
+1.1699e+00 +3.0501e+00 +1.0501e+00 -9.4988e-01
+1.1741e+00 +3.0014e+00 +1.0014e+00 -9.9857e-01
+1.1784e+00 +3.0222e+00 +1.0222e+00 -9.7784e-01
+1.1826e+00 +3.1109e+00 +1.1109e+00 -8.8914e-01
+1.1868e+00 +3.2614e+00 +1.2614e+00 -7.3863e-01
+1.1910e+00 +3.4632e+00 +1.4632e+00 -5.3678e-01
+1.1952e+00 +3.7024e+00 +1.7024e+00 -2.9762e-01
+1.1994e+00 +3.9622e+00 +1.9622e+00 -3.7766e-02
+1.2036e+00 +4.2247e+00 +2.2247e+00 +2.2471e-01
+1.2078e+00 +4.4716e+00 +2.4716e+00 +4.7157e-01
+1.2120e+00 +4.6856e+00 +2.6856e+00 +6.8565e-01
+1.2162e+00 +4.8521e+00 +2.8521e+00 +8.5206e-01
+1.2204e+00 +4.9593e+00 +2.9593e+00 +9.5925e-01
+1.2246e+00 +4.9998e+00 +2.9998e+00 +9.9976e-01
+1.2289e+00 +4.9708e+00 +2.9708e+00 +9.7077e-01
+1.2331e+00 +4.8743e+00 +2.8743e+00 +8.7430e-01
+1.2373e+00 +4.7171e+00 +2.7171e+00 +7.1705e-01
+1.2415e+00 +4.5100e+00 +2.5100e+00 +5.0996e-01
+1.2457e+00 +4.2674e+00 +2.2674e+00 +2.6742e-01
+1.2499e+00 +4.0063e+00 +2.0063e+00 +6.2957e-03
+1.2541e+00 +3.7447e+00 +1.7447e+00 -2.5527e-01
+1.2583e+00 +3.5009e+00 +1.5009e+00 -4.9909e-01
+1.2625e+00 +3.2918e+00 +1.2918e+00 -7.0822e-01
+1.2667e+00 +3.1319e+00 +1.1319e+00 -8.6812e-01
+1.2709e+00 +3.0323e+00 +1.0323e+00 -9.6767e-01
+1.2752e+00 +3.0000e+00 +1.0000e+00 -9.9996e-01
