timestamp,temperature
2021-04-27 13:45:14,+2.5450e+01
2021-04-27 13:45:44,+2.5400e+01
2021-04-27 13:46:14,+2.5420e+01
2021-04-27 13:46:44,+2.5440e+01
2021-04-27 13:47:13,+2.5400e+01
2021-04-27 13:47:43,+2.5540e+01
2021-04-27 13:48:13,+2.5540e+01
2021-04-27 13:48:43,+2.5560e+01
2021-04-27 13:49:13,+2.5480e+01
2021-04-27 13:49:43,+2.5450e+01
2021-04-27 13:50:13,+2.5540e+01
2021-04-27 13:50:43,+2.5450e+01
2021-04-27 13:51:13,+2.5420e+01
2021-04-27 13:51:43,+2.5440e+01
2021-04-27 13:52:13,+2.5410e+01
2021-04-27 13:52:43,+2.5410e+01
2021-04-27 13:53:13,+2.5400e+01
2021-04-27 13:53:43,+2.5330e+01
2021-04-27 13:54:13,+2.5410e+01
2021-04-27 13:54:43,+2.5450e+01
2021-04-27 13:55:13,+2.5470e+01
2021-04-27 13:55:43,+2.5280e+01
2021-04-27 13:56:13,+2.5400e+01
2021-04-27 13:56:43,+2.5480e+01
2021-04-27 13:57:13,+2.5440e+01
2021-04-27 13:57:43,+2.5470e+01
2021-04-27 13:58:12,+2.5380e+01
2021-04-27 13:58:42,+2.5360e+01
2021-04-27 13:59:12,+2.5470e+01
2021-04-27 13:59:42,+2.5520e+01
2021-04-27 14:00:12,+2.5420e+01
2021-04-27 14:00:42,+2.5450e+01
2021-04-27 14:01:12,+2.5440e+01
2021-04-27 14:01:42,+2.5360e+01
2021-04-27 14:02:12,+2.5470e+01
2021-04-27 14:02:42,+2.5490e+01
2021-04-27 14:03:12,+2.5480e+01
2021-04-27 14:03:42,+2.5490e+01
2021-04-27 14:04:12,+2.5410e+01
2021-04-27 14:04:42,+2.5540e+01
2021-04-27 14:05:12,+2.5360e+01
2021-04-27 14:05:42,+2.5330e+01
2021-04-27 14:06:12,+2.5260e+01
2021-04-27 14:06:42,+2.5450e+01
2021-04-27 14:07:12,+2.5490e+01
2021-04-27 14:07:42,+2.5310e+01
2021-04-27 14:08:12,+2.5420e+01
2021-04-27 14:08:42,+2.5640e+01
2021-04-27 14:09:11,+2.5540e+01
2021-04-27 14:09:41,+2.5380e+01
2021-04-27 14:10:11,+2.5450e+01
2021-04-27 14:10:41,+2.5440e+01
2021-04-27 14:11:11,+2.5450e+01
2021-04-27 14:11:41,+2.5400e+01
2021-04-27 14:12:11,+2.5400e+01
2021-04-27 14:12:41,+2.5370e+01
2021-04-27 14:13:11,+2.5490e+01
2021-04-27 14:13:41,+2.5340e+01
2021-04-27 14:14:11,+2.5300e+01
2021-04-27 14:14:41,+2.5330e+01
2021-04-27 14:15:11,+2.5380e+01
2021-04-27 14:15:41,+2.5330e+01
2021-04-27 14:16:11,+2.5340e+01
2021-04-27 14:16:41,+2.5410e+01
2021-04-27 14:17:11,+2.5440e+01
2021-04-27 14:17:41,+2.5440e+01
2021-04-27 14:18:11,+2.5480e+01
2021-04-27 14:18:41,+2.5370e+01
2021-04-27 14:19:11,+2.5410e+01
2021-04-27 14:19:40,+2.5410e+01
2021-04-27 14:20:10,+2.5470e+01
2021-04-27 14:20:40,+2.5310e+01
2021-04-27 14:21:10,+2.5160e+01
2021-04-27 14:21:40,+2.5330e+01
2021-04-27 14:22:10,+2.5420e+01
2021-04-27 14:22:40,+2.5230e+01
2021-04-27 14:23:10,+2.5260e+01
2021-04-27 14:23:40,+2.5300e+01
2021-04-27 14:24:10,+2.5240e+01
2021-04-27 14:24:40,+2.5210e+01
2021-04-27 14:25:10,+2.5170e+01
2021-04-27 14:25:40,+2.5140e+01
2021-04-27 14:26:10,+2.5070e+01
2021-04-27 14:26:40,+2.5110e+01
2021-04-27 14:27:10,+2.5130e+01
2021-04-27 14:27:40,+2.5060e+01
2021-04-27 14:28:10,+2.5140e+01
2021-04-27 14:28:40,+2.5050e+01
2021-04-27 14:29:10,+2.5000e+01
2021-04-27 14:29:40,+2.4970e+01
2021-04-27 14:30:10,+2.5070e+01
2021-04-27 14:30:39,+2.5130e+01
2021-04-27 14:31:09,+2.5110e+01
2021-04-27 14:31:39,+2.5090e+01
2021-04-27 14:32:09,+2.5130e+01
2021-04-27 14:32:39,+2.5130e+01
2021-04-27 14:33:09,+2.5050e+01
2021-04-27 14:33:39,+2.5090e+01
2021-04-27 14:34:09,+2.5070e+01
2021-04-27 14:34:39,+2.5100e+01
2021-04-27 14:35:09,+2.5140e+01
2021-04-27 14:35:39,+2.5070e+01
2021-04-27 14:36:09,+2.5130e+01
2021-04-27 14:36:39,+2.5100e+01
2021-04-27 14:37:09,+2.5060e+01
2021-04-27 14:37:39,+2.5050e+01
2021-04-27 14:38:09,+2.5110e+01
2021-04-27 14:38:39,+2.5140e+01
2021-04-27 14:39:09,+2.5160e+01
2021-04-27 14:39:39,+2.5100e+01
2021-04-27 14:40:09,+2.4970e+01
2021-04-27 14:40:39,+2.5060e+01
2021-04-27 14:41:09,+2.5060e+01
2021-04-27 14:41:38,+2.5050e+01
2021-04-27 14:42:08,+2.5020e+01
2021-04-27 14:42:38,+2.5100e+01
2021-04-27 14:43:08,+2.4990e+01
2021-04-27 14:43:38,+2.4910e+01
2021-04-27 14:44:08,+2.4910e+01
2021-04-27 14:44:38,+2.4960e+01
2021-04-27 14:45:08,+2.5140e+01
2021-04-27 14:45:38,+2.5060e+01
2021-04-27 14:46:08,+2.5160e+01
2021-04-27 14:46:38,+2.5160e+01
2021-04-27 14:47:08,+2.5140e+01
2021-04-27 14:47:38,+2.5090e+01
2021-04-27 14:48:08,+2.5110e+01
2021-04-27 14:48:38,+2.4990e+01
2021-04-27 14:49:08,+2.4950e+01
2021-04-27 14:49:38,+2.5130e+01
2021-04-27 14:50:08,+2.5160e+01
2021-04-27 14:50:38,+2.5210e+01
2021-04-27 14:51:08,+2.5110e+01
2021-04-27 14:51:38,+2.5070e+01
2021-04-27 14:52:08,+2.5100e+01
2021-04-27 14:52:37,+2.5260e+01
2021-04-27 14:53:07,+2.5240e+01
2021-04-27 14:53:37,+2.5270e+01
2021-04-27 14:54:07,+2.5140e+01
2021-04-27 14:54:37,+2.5090e+01
2021-04-27 14:55:07,+2.5280e+01
2021-04-27 14:55:37,+2.5170e+01
2021-04-27 14:56:07,+2.5170e+01
2021-04-27 14:56:37,+2.5160e+01
2021-04-27 14:57:07,+2.5210e+01
2021-04-27 14:57:37,+2.5260e+01
2021-04-27 14:58:07,+2.5330e+01
2021-04-27 14:58:37,+2.5280e+01
2021-04-27 14:59:07,+2.5190e+01
2021-04-27 14:59:37,+2.5270e+01
2021-04-27 15:00:07,+2.5210e+01
2021-04-27 15:00:37,+2.5230e+01
2021-04-27 15:01:07,+2.5300e+01
2021-04-27 15:01:37,+2.5170e+01
2021-04-27 15:02:07,+2.5210e+01
2021-04-27 15:02:37,+2.5360e+01
2021-04-27 15:03:07,+2.5270e+01
2021-04-27 15:03:36,+2.5330e+01
